dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700254,3.350000,0.000030,0.005974,0.597380,59.737971,6.282459
0.010000,1.700243,3.350000,0.000041,0.001152,-0.482187,-107.956696,6.282492
0.010000,1.700217,3.350000,0.000067,0.002591,0.143945,62.613272,6.282566
0.010000,1.700174,3.350000,0.000110,0.004318,0.172620,2.867436,6.282689
0.010000,1.700113,3.350000,0.000171,0.006042,0.172412,-0.020823,6.282862
0.010000,1.700036,3.350000,0.000249,0.007763,0.172120,-0.029159,6.283084
0.010000,1.700556,3.350000,0.000769,0.052060,4.429692,425.757196,0.000169
0.010000,1.701609,3.350000,0.001822,0.105296,5.323603,89.391112,0.000489
0.010000,1.702824,3.350001,0.003037,0.121509,1.621294,-370.230892,0.000858
0.010000,1.704202,3.350003,0.004414,0.137729,1.622051,0.075685,0.001275
0.010000,1.705741,3.350005,0.005954,0.153956,1.622670,0.061905,0.001740
0.010000,1.707443,3.350008,0.007656,0.170189,1.623349,0.067874,0.002254
0.010000,1.709307,3.350013,0.009520,0.186434,1.624429,0.108051,0.002816
0.010000,1.711334,3.350019,0.011547,0.202687,1.625286,0.085661,0.003425
0.010000,1.713524,3.350028,0.013737,0.218949,1.626264,0.097841,0.004082
0.010000,1.715876,3.350038,0.016089,0.235223,1.627399,0.113515,0.004786
0.010000,1.718391,3.350051,0.018604,0.251509,1.628605,0.120521,0.005537
0.010000,1.721069,3.350067,0.021282,0.267808,1.629881,0.127665,0.006334
0.010000,1.723910,3.350086,0.024123,0.284120,1.631231,0.134953,0.007177
0.010000,1.726915,3.350109,0.027128,0.300448,1.632786,0.155504,0.008065
0.010000,1.730082,3.350136,0.030296,0.316791,1.634308,0.152183,0.008999
0.010000,1.733414,3.350168,0.033627,0.333149,1.635784,0.147668,0.009977
0.010000,1.736909,3.350204,0.037122,0.349526,1.637676,0.189156,0.011000
0.010000,1.740568,3.350247,0.040782,0.365920,1.639375,0.169920,0.012066
0.010000,1.744391,3.350295,0.044605,0.382333,1.641335,0.195997,0.013175
0.010000,1.748378,3.350350,0.048593,0.398765,1.643163,0.182831,0.014326
