dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700000,3.000000,0.000030,0.005969,0.596875,59.687461,6.282933
0.010000,1.700000,3.000000,0.000149,0.017906,1.193749,59.687461,6.282943
0.010000,1.700000,3.000000,0.000418,0.035812,1.790624,59.687461,6.282966
0.010000,1.700000,3.000000,0.000865,0.053719,1.790624,0.000000,6.283004
0.010000,1.700000,3.000000,0.001492,0.071625,1.790624,-0.000000,6.283057
0.010000,1.700000,3.000000,0.002298,0.089531,1.790624,0.000000,6.283125
0.010000,1.700275,3.000000,0.003283,0.107437,1.790624,-0.000000,0.000023
0.010000,1.701439,3.000000,0.004447,0.125344,1.790624,-0.000000,0.000122
0.010000,1.702782,3.000000,0.005790,0.143250,1.790624,0.000000,0.000235
0.010000,1.704304,3.000001,0.007312,0.161156,1.790624,0.000000,0.000364
0.010000,1.706005,3.000002,0.009013,0.179062,1.790624,-0.000000,0.000508
0.010000,1.707885,3.000003,0.010893,0.196969,1.790624,0.000000,0.000666
0.010000,1.709945,3.000004,0.012952,0.214875,1.790624,0.000000,0.000839
0.010000,1.712183,3.000006,0.015190,0.232781,1.790624,0.000000,0.001027
0.010000,1.714600,3.000009,0.017608,0.250687,1.790624,-0.000000,0.001230
0.010000,1.717197,3.000012,0.020204,0.268594,1.790624,0.000000,0.001447
0.010000,1.719972,3.000017,0.022980,0.286500,1.790624,-0.000000,0.001678
0.010000,1.722927,3.000022,0.025934,0.304406,1.790624,0.000000,0.001924
0.010000,1.726060,3.000029,0.029068,0.322312,1.790624,-0.000000,0.002184
0.010000,1.729373,3.000036,0.032380,0.340219,1.790624,0.000000,0.002459
0.010000,1.732865,3.000045,0.035872,0.358125,1.790624,0.000000,0.002747
0.010000,1.736535,3.000056,0.039543,0.376031,1.790624,-0.000000,0.003049
0.010000,1.740385,3.000068,0.043393,0.393937,1.790624,0.000000,0.003365
0.010000,1.744414,3.000083,0.047422,0.411843,1.790624,-0.000000,0.003694
0.010000,1.748622,3.000099,0.051630,0.429750,1.790624,0.000000,0.004037
0.010000,1.753009,3.000117,0.056017,0.447656,1.790624,-0.000000,0.004393
0.010000,1.757575,3.000138,0.060583,0.465562,1.790624,0.000000,0.004762
0.010000,1.762320,3.000162,0.065328,0.483468,1.790624,-0.000000,0.005144
0.010000,1.767244,3.000188,0.070252,0.501375,1.790624,-0.000000,0.005539
0.010000,1.772347,3.000217,0.075355,0.519281,1.790624,0.000000,0.005947
0.010000,1.777630,3.000250,0.080638,0.537187,1.790624,-0.000000,0.006367
0.010000,1.783091,3.000286,0.086099,0.555093,1.790624,-0.000000,0.006799
0.010000,1.788731,3.000325,0.091740,0.573000,1.790624,0.000000,0.007243
0.010000,1.794551,3.000369,0.097559,0.590906,1.790624,0.000000,0.007698
0.010000,1.800549,3.000416,0.103558,0.608812,1.790624,-0.000000,0.008166
0.010000,1.806726,3.000468,0.109735,0.626718,1.790624,-0.000000,0.008644
0.010000,1.813083,3.000525,0.116092,0.644625,1.790624,0.000000,0.009134
0.010000,1.819618,3.000586,0.122628,0.662531,1.790624,-0.000000,0.009634
0.010000,1.826333,3.000653,0.129343,0.680437,1.790624,0.000000,0.010145
0.010000,1.833226,3.000724,0.136237,0.698343,1.790624,-0.000000,0.010667
0.010000,1.840299,3.000802,0.143310,0.716250,1.790624,0.000000,0.011198
0.010000,1.847551,3.000885,0.150562,0.734156,1.790624,-0.000000,0.011739
0.010000,1.854981,3.000974,0.157993,0.752062,1.790624,-0.000000,0.012290
0.010000,1.862591,3.001070,0.165603,0.769968,1.790624,0.000000,0.012850
0.010000,1.870379,3.001172,0.173392,0.787874,1.790624,0.000000,0.013419
0.010000,1.878347,3.001281,0.181360,0.805781,1.790624,-0.000000,0.013997
0.010000,1.886493,3.001398,0.189508,0.823687,1.790624,0.000000,0.014583
0.010000,1.894819,3.001522,0.197834,0.841593,1.790624,0.000000,0.015177
0.010000,1.903323,3.001653,0.206340,0.859499,1.790624,0.000000,0.015779
0.010000,1.912007,3.001793,0.215024,0.877406,1.790624,0.000000,0.016388
0.010000,1.920869,3.001941,0.223888,0.895312,1.790624,-0.000000,0.017004
0.010000,1.929910,3.002098,0.232930,0.913218,1.790624,0.000000,0.017628
0.010000,1.939130,3.002263,0.242152,0.931124,1.790624,-0.000000,0.018257
0.010000,1.948530,3.002438,0.251553,0.949031,1.790624,0.000000,0.018893
0.010000,1.958108,3.002622,0.261133,0.966937,1.790624,0.000000,0.019534
0.010000,1.967865,3.002815,0.270892,0.984843,1.790624,0.000000,0.020180
0.010000,1.977801,3.003019,0.280830,1.002749,1.790624,-0.000000,0.020832
0.010000,1.987915,3.003233,0.290947,1.020656,1.790624,0.000000,0.021488
0.010000,1.998209,3.003458,0.301243,1.038562,1.790624,0.000000,0.022148
0.010000,2.008681,3.003693,0.311718,1.056468,1.790624,-0.000000,0.022813
0.010000,2.019333,3.003940,0.322372,1.074374,1.790624,0.000000,0.023480
0.010000,2.030163,3.004198,0.333205,1.092281,1.790624,0.000000,0.024151
0.010000,2.041172,3.004468,0.344218,1.110187,1.790624,-0.000000,0.024824
0.010000,2.052360,3.004749,0.355409,1.128093,1.790624,0.000000,0.025499
0.010000,2.063727,3.005043,0.366779,1.145999,1.790624,-0.000000,0.026177
0.010000,2.075272,3.005349,0.378329,1.163905,1.790624,0.000000,0.026855
0.010000,2.086996,3.005668,0.390058,1.181812,1.790624,0.000000,0.027535
0.010000,2.098899,3.006000,0.401965,1.199718,1.790624,-0.000000,0.028214
0.010000,2.110981,3.006345,0.414052,1.217624,1.790624,0.000000,0.028894
0.010000,2.123242,3.006704,0.426318,1.235530,1.790624,-0.000000,0.029574
0.010000,2.135681,3.007076,0.438763,1.253437,1.790624,0.000000,0.030252
0.010000,2.148299,3.007462,0.451386,1.271343,1.790624,0.000000,0.030929
0.010000,2.161096,3.007862,0.464189,1.289249,1.790624,0.000000,0.031604
0.010000,2.174071,3.008277,0.477171,1.307155,1.790624,-0.000000,0.032277
0.010000,2.187225,3.008706,0.490332,1.325062,1.790624,0.000000,0.032947
0.010000,2.200558,3.009150,0.503673,1.342968,1.790624,0.000000,0.033614
0.010000,2.214069,3.009609,0.517192,1.360874,1.790624,-0.000000,0.034276
0.010000,2.227759,3.010083,0.530890,1.378780,1.790624,0.000000,0.034935
0.010000,2.241628,3.010572,0.544767,1.396687,1.790624,0.000000,0.035588
0.010000,2.255675,3.011077,0.558824,1.414593,1.790624,0.000000,0.036236
0.010000,2.269901,3.011597,0.573059,1.432499,1.790624,0.000000,0.036878
0.010000,2.284306,3.012133,0.587474,1.450405,1.790624,-0.000000,0.037514
0.010000,2.298889,3.012685,0.602067,1.468312,1.790624,0.000000,0.038142
0.010000,2.313651,3.013253,0.616840,1.486218,1.790624,0.000000,0.038763
0.010000,2.328591,3.013837,0.631792,1.504124,1.790624,-0.000000,0.039376
0.010000,2.343710,3.014437,0.646923,1.522030,1.790624,0.000000,0.039981
0.010000,2.359007,3.015054,0.662232,1.539936,1.790624,-0.000000,0.040575
0.010000,2.374483,3.015686,0.677721,1.557843,1.790624,0.000000,0.041160
0.010000,2.390138,3.016336,0.693389,1.575749,1.790624,0.000000,0.041735
0.010000,2.405971,3.017001,0.709236,1.593655,1.790624,-0.000000,0.042299
0.010000,2.421982,3.017683,0.725262,1.611561,1.790624,0.000000,0.042850
0.010000,2.438172,3.018382,0.741467,1.629468,1.790624,-0.000000,0.043390
0.010000,2.454541,3.019097,0.757852,1.647374,1.790624,0.000000,0.043917
0.010000,2.471088,3.019829,0.774415,1.665280,1.790624,-0.000000,0.044430
0.010000,2.487814,3.020576,0.791157,1.683186,1.790624,0.000000,0.044930
0.010000,2.504718,3.021340,0.808079,1.701093,1.790624,0.000000,0.045414
0.010000,2.521801,3.022121,0.825179,1.718999,1.790624,-0.000000,0.045883
0.010000,2.539062,3.022917,0.842459,1.736905,1.790624,0.000000,0.046336
0.010000,2.556501,3.023730,0.859917,1.754811,1.790624,0.000000,0.046773
0.010000,2.574120,3.024558,0.877555,1.772718,1.790624,-0.000000,0.047192
0.010000,2.591916,3.025402,0.895372,1.790624,1.790624,-0.000000,0.047593
0.010000,2.609891,3.026262,0.913367,1.808530,1.790624,0.000000,0.047976
0.010000,2.628045,3.027137,0.931542,1.826436,1.790624,0.000000,0.048339
0.010000,2.646377,3.028027,0.949896,1.844343,1.790624,-0.000000,0.048682
0.010000,2.664888,3.028932,0.968429,1.862249,1.790624,0.000000,0.049005
0.010000,2.683578,3.029851,0.987141,1.880155,1.790624,0.000000,0.049306
0.010000,2.702446,3.030785,1.006032,1.898061,1.790624,-0.000000,0.049585
0.010000,2.721492,3.031733,1.025102,1.915968,1.790624,0.000000,0.049841
0.010000,2.740718,3.032694,1.044352,1.933874,1.790624,0.000000,0.050074
0.010000,2.760121,3.033669,1.063780,1.951780,1.790624,0.000000,0.050282
0.010000,2.779704,3.034656,1.083387,1.969686,1.790624,-0.000000,0.050465
0.010000,2.799465,3.035656,1.103174,1.987592,1.790624,0.000000,0.050623
0.010000,2.819405,3.036667,1.123139,2.005499,1.790624,-0.000000,0.050754
0.010000,2.839523,3.037690,1.143283,2.023405,1.790624,0.000000,0.050858
0.010000,2.859821,3.038724,1.163607,2.041311,1.790624,0.000000,0.050933
0.010000,2.880297,3.039769,1.184110,2.059217,1.790624,0.000000,0.050981
0.010000,2.900951,3.040823,1.204791,2.077124,1.790624,0.000000,0.050998
0.010000,2.921785,3.041886,1.225652,2.095030,1.790624,-0.000000,0.050985
0.010000,2.942798,3.042958,1.246692,2.112936,1.790624,0.000000,0.050941
0.010000,2.963989,3.044038,1.267911,2.130842,1.790624,-0.000000,0.050865
0.010000,2.985359,3.045124,1.289309,2.148749,1.790624,0.000000,0.050757
0.010000,3.006909,3.046218,1.310886,2.166655,1.790624,-0.000000,0.050615
0.010000,3.028637,3.047317,1.332642,2.184561,1.790624,0.000000,0.050438
0.010000,3.050544,3.048420,1.354577,2.202467,1.790624,-0.000000,0.050227
0.010000,3.072631,3.049528,1.376691,2.220374,1.790624,0.000000,0.049979
0.010000,3.094896,3.050638,1.398985,2.238280,1.790624,0.000000,0.049695
0.010000,3.117341,3.051751,1.421457,2.256186,1.790624,0.000000,0.049373
0.010000,3.139965,3.052865,1.444108,2.274092,1.790624,0.000000,0.049012
0.010000,3.162768,3.053979,1.466939,2.291999,1.790624,-0.000000,0.048612
0.010000,3.185751,3.055092,1.489948,2.309905,1.790624,0.000000,0.048172
