dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.699912,2.650000,0.000030,0.005969,0.596875,59.687461,6.282933
0.010000,1.699915,2.650000,0.000033,0.000355,-0.561388,-115.826235,6.282943
0.010000,1.699923,2.650000,0.000041,0.000798,0.044346,60.573355,6.282966
0.010000,1.699936,2.650000,0.000055,0.001330,0.053182,0.883665,6.283004
0.010000,1.699955,2.650000,0.000073,0.001861,0.053123,-0.005899,6.283057
0.010000,1.699979,2.650000,0.000097,0.002392,0.053041,-0.008259,6.283125
0.010000,1.700283,2.650000,0.000402,0.030447,2.805542,275.250063,0.000023
0.010000,1.701482,2.650000,0.001600,0.119840,8.939267,613.372578,0.000122
0.010000,1.702865,2.650000,0.002983,0.138272,1.843247,-709.601993,0.000235
0.010000,1.704432,2.650001,0.004550,0.156704,1.843129,-0.011831,0.000364
0.010000,1.706183,2.650002,0.006301,0.175132,1.842865,-0.026395,0.000508
0.010000,1.708118,2.650003,0.008237,0.193559,1.842714,-0.015087,0.000666
0.010000,1.710238,2.650004,0.010357,0.211984,1.842407,-0.030687,0.000839
0.010000,1.712542,2.650006,0.012661,0.230405,1.842146,-0.026131,0.001027
0.010000,1.715031,2.650009,0.015149,0.248824,1.841882,-0.026436,0.001230
0.010000,1.717703,2.650013,0.017821,0.267239,1.841544,-0.033739,0.001447
0.010000,1.720560,2.650017,0.020678,0.285651,1.841198,-0.034585,0.001678
0.010000,1.723600,2.650023,0.023718,0.304060,1.840835,-0.036326,0.001924
0.010000,1.726825,2.650029,0.026943,0.322464,1.840447,-0.038861,0.002184
0.010000,1.730233,2.650037,0.030352,0.340864,1.840033,-0.041385,0.002459
0.010000,1.733826,2.650047,0.033944,0.359260,1.839594,-0.043898,0.002747
0.010000,1.737602,2.650058,0.037721,0.377652,1.839150,-0.044326,0.003049
0.010000,1.741563,2.650070,0.041681,0.396038,1.838658,-0.049213,0.003365
0.010000,1.745707,2.650085,0.045825,0.414420,1.838134,-0.052429,0.003694
0.010000,1.750035,2.650102,0.050153,0.432796,1.837617,-0.051675,0.004037
0.010000,1.754547,2.650121,0.054665,0.451167,1.837069,-0.054827,0.004393
0.010000,1.759242,2.650142,0.059360,0.469531,1.836468,-0.060076,0.004762
0.010000,1.764121,2.650166,0.064239,0.487890,1.835891,-0.057771,0.005144
0.010000,1.769183,2.650193,0.069302,0.506243,1.835249,-0.064138,0.005539
0.010000,1.774429,2.650224,0.074548,0.524589,1.834590,-0.065888,0.005947
0.010000,1.779858,2.650257,0.079977,0.542928,1.833944,-0.064648,0.006367
0.010000,1.785470,2.650294,0.085589,0.561260,1.833229,-0.071501,0.006799
0.010000,1.791266,2.650335,0.091385,0.579585,1.832505,-0.072405,0.007243
0.010000,1.797245,2.650379,0.097364,0.597903,1.831762,-0.074302,0.007698
0.010000,1.803407,2.650428,0.103526,0.616213,1.830993,-0.076825,0.008166
0.010000,1.809752,2.650481,0.109872,0.634515,1.830200,-0.079328,0.008644
0.010000,1.816280,2.650539,0.116400,0.652809,1.829382,-0.081810,0.009134
0.010000,1.822990,2.650602,0.123111,0.671094,1.828539,-0.084273,0.009634
0.010000,1.829884,2.650671,0.130004,0.689371,1.827673,-0.086640,0.010145
0.010000,1.836960,2.650744,0.137081,0.707639,1.826802,-0.087111,0.010667
0.010000,1.844218,2.650824,0.144340,0.725898,1.825867,-0.093442,0.011198
0.010000,1.851659,2.650909,0.151781,0.744147,1.824932,-0.093556,0.011739
0.010000,1.859283,2.651001,0.159405,0.762387,1.823989,-0.094312,0.012290
0.010000,1.867088,2.651099,0.167211,0.780617,1.822981,-0.100773,0.012850
0.010000,1.875076,2.651204,0.175200,0.798837,1.821994,-0.098710,0.013419
0.010000,1.883246,2.651316,0.183370,0.817046,1.820946,-0.104756,0.013997
0.010000,1.891597,2.651435,0.191722,0.835245,1.819891,-0.105552,0.014583
0.010000,1.900130,2.651562,0.200257,0.853433,1.818822,-0.106866,0.015177
0.010000,1.908846,2.651697,0.208973,0.871610,1.817708,-0.111429,0.015779
0.010000,1.917742,2.651840,0.217871,0.889776,1.816581,-0.112737,0.016388
0.010000,1.926820,2.651992,0.226950,0.907930,1.815429,-0.115133,0.017004
0.010000,1.936080,2.652152,0.236211,0.926073,1.814253,-0.117585,0.017628
0.010000,1.945520,2.652321,0.245653,0.944203,1.813053,-0.120012,0.018257
0.010000,1.955142,2.652500,0.255276,0.962322,1.811829,-0.122417,0.018893
0.010000,1.964944,2.652688,0.265080,0.980427,1.810581,-0.124799,0.019534
0.010000,1.974927,2.652887,0.275065,0.998521,1.809310,-0.127104,0.020180
0.010000,1.985091,2.653095,0.285231,1.016601,1.808015,-0.129552,0.020832
