dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.699712,4.480000,0.000030,0.005988,0.598802,59.880240,0.000824
0.010000,1.699718,4.480000,0.000036,0.000624,-0.536440,-113.524190,0.000806
0.010000,1.699732,4.480000,0.000050,0.001403,0.077958,61.439770,0.000766
0.010000,1.699755,4.480000,0.000074,0.002339,0.093561,1.560329,0.000699
0.010000,1.699788,4.480000,0.000106,0.003275,0.093583,0.002113,0.000605
0.010000,1.699830,4.480000,0.000148,0.004211,0.093612,0.002958,0.000485
0.010000,1.699882,4.480000,0.000200,0.005147,0.093650,0.003803,0.000338
0.010000,1.699943,4.480000,0.000261,0.006084,0.093697,0.004649,0.000164
0.010000,1.700259,4.480000,0.000577,0.031612,2.552791,245.909424,6.283149
0.010000,1.701865,4.480000,0.002184,0.160678,12.906596,1035.380551,6.282921
0.010000,1.703661,4.479999,0.003979,0.179562,1.888345,-1101.825102,6.282667
0.010000,1.705645,4.479998,0.005964,0.198438,1.887685,-0.066053,6.282386
0.010000,1.707819,4.479996,0.008138,0.217396,1.895778,0.809272,6.282078
0.010000,1.710182,4.479993,0.010500,0.236275,1.887925,-0.785271,6.281742
0.010000,1.712734,4.479989,0.013052,0.255183,1.890763,0.283779,6.281380
0.010000,1.715475,4.479983,0.015793,0.274112,1.892844,0.208086,6.280991
0.010000,1.718405,4.479976,0.018723,0.293000,1.888874,-0.396968,6.280575
0.010000,1.721525,4.479967,0.021843,0.311941,1.894079,0.520552,6.280131
0.010000,1.724833,4.479956,0.025151,0.330842,1.890103,-0.397672,6.279661
0.010000,1.728331,4.479943,0.028649,0.349759,1.891643,0.154064,6.279163
0.010000,1.732017,4.479927,0.032336,0.368703,1.894440,0.279656,6.278637
0.010000,1.735893,4.479909,0.036212,0.387595,1.889198,-0.524150,6.278084
0.010000,1.739959,4.479887,0.040277,0.406541,1.894574,0.537560,6.277504
0.010000,1.744213,4.479861,0.044532,0.425482,1.894158,-0.041569,6.276896
0.010000,1.748657,4.479832,0.048976,0.444397,1.891489,-0.266897,6.276261
0.010000,1.753290,4.479798,0.053609,0.463321,1.892399,0.090958,6.275597
0.010000,1.758113,4.479760,0.058432,0.482267,1.894570,0.217107,6.274906
0.010000,1.763125,4.479717,0.063444,0.501230,1.896292,0.172191,6.274187
0.010000,1.768327,4.479668,0.068646,0.520168,1.893839,-0.245311,6.273440
0.010000,1.773717,4.479613,0.074037,0.539113,1.894463,0.062460,6.272665
0.010000,1.779298,4.479552,0.079618,0.558063,1.895017,0.055332,6.271861
0.010000,1.785067,4.479485,0.085388,0.577018,1.895499,0.048228,6.271029
0.010000,1.791027,4.479410,0.091347,0.595977,1.895910,0.041150,6.270169
0.010000,1.797176,4.479327,0.097497,0.614940,1.896251,0.034101,6.269280
0.010000,1.803514,4.479236,0.103836,0.633905,1.896522,0.027084,6.268363
0.010000,1.810042,4.479136,0.110365,0.652872,1.896723,0.020101,6.267417
0.010000,1.816760,4.479027,0.117083,0.671847,1.897540,0.081701,6.266441
0.010000,1.823667,4.478908,0.123992,0.690858,1.901059,0.351853,6.265437
0.010000,1.830764,4.478778,0.131090,0.709835,1.897740,-0.331866,6.264403
0.010000,1.838051,4.478637,0.138378,0.728812,1.897663,-0.007760,6.263341
0.010000,1.845527,4.478485,0.145856,0.747787,1.897517,-0.014539,6.262248
0.010000,1.853194,4.478320,0.153524,0.766838,1.905082,0.756446,6.261126
0.010000,1.861050,4.478142,0.161383,0.785820,1.898222,-0.685929,6.259975
0.010000,1.869096,4.477950,0.169431,0.804809,1.898848,0.062562,6.258793
0.010000,1.877332,4.477745,0.177669,0.823872,1.906349,0.750050,6.257581
0.010000,1.885758,4.477524,0.186098,0.842846,1.897400,-0.894822,6.256339
0.010000,1.894374,4.477287,0.194717,0.861921,1.907477,1.007656,6.255067
0.010000,1.903179,4.477033,0.203526,0.880908,1.898679,-0.879803,6.253764
0.010000,1.912175,4.476763,0.212526,0.899998,1.908990,1.031144,6.252430
0.010000,1.921360,4.476474,0.221716,0.918999,1.900142,-0.884856,6.251066
0.010000,1.930736,4.476166,0.231097,0.938085,1.908605,0.846328,6.249670
0.010000,1.940302,4.475838,0.240668,0.957136,1.905042,-0.356280,6.248243
0.010000,1.950057,4.475490,0.250430,0.976177,1.904101,-0.094101,6.246784
0.010000,1.960003,4.475121,0.260383,0.995279,1.910244,0.614314,6.245294
0.010000,1.970139,4.474729,0.270527,1.014360,1.908055,-0.218914,6.243772
0.010000,1.980465,4.474313,0.280861,1.033433,1.907382,-0.067354,6.242218
0.010000,1.990981,4.473874,0.291386,1.052519,1.908616,0.123433,6.240632
0.010000,2.001688,4.473409,0.302102,1.071617,1.909773,0.115730,6.239013
0.010000,2.012584,4.472919,0.313010,1.090734,1.911670,0.189657,6.237361
0.010000,2.023670,4.472401,0.324108,1.109860,1.912607,0.093682,6.235677
0.010000,2.034947,4.471855,0.335398,1.128979,1.911946,-0.066080,6.233959
0.010000,2.046414,4.471280,0.346879,1.148108,1.912808,0.086169,6.232209
0.010000,2.058070,4.470675,0.358551,1.167243,1.913596,0.078803,6.230424
0.010000,2.069917,4.470039,0.370415,1.186387,1.914311,0.071516,6.228606
0.010000,2.081954,4.469370,0.382471,1.205559,1.917268,0.295761,6.226753
0.010000,2.094181,4.468668,0.394718,1.224725,1.916604,-0.066406,6.224867
0.010000,2.106598,4.467931,0.407157,1.243894,1.916829,0.022468,6.222946
0.010000,2.119205,4.467158,0.419788,1.263066,1.917254,0.042505,6.220990
0.010000,2.132002,4.466348,0.432610,1.282242,1.917611,0.035669,6.218999
0.010000,2.144989,4.465500,0.445625,1.301461,1.921892,0.428171,6.216973
0.010000,2.158166,4.464613,0.458832,1.320677,1.921535,-0.035754,6.214911
0.010000,2.171533,4.463685,0.472230,1.339867,1.919044,-0.249072,6.212813
0.010000,2.185089,4.462715,0.485821,1.359114,1.924683,0.563868,6.210680
0.010000,2.198835,4.461701,0.499605,1.378347,1.923347,-0.133631,6.208510
0.010000,2.212771,4.460643,0.513581,1.397576,1.922918,-0.042893,6.206303
0.010000,2.226896,4.459539,0.527749,1.416856,1.927972,0.505402,6.204060
0.010000,2.241211,4.458388,0.542110,1.436098,1.924159,-0.381236,6.201779
0.010000,2.255715,4.457187,0.556664,1.455388,1.929009,0.485016,6.199461
0.010000,2.270409,4.455937,0.571411,1.474671,1.928341,-0.066840,6.197105
0.010000,2.285291,4.454635,0.586350,1.493937,1.926547,-0.179446,6.194712
0.010000,2.300364,4.453279,0.601483,1.513291,1.935394,0.884735,6.192279
0.010000,2.315624,4.451869,0.616809,1.532585,1.929391,-0.600314,6.189809
0.010000,2.331074,4.450403,0.632328,1.551896,1.931148,0.175708,6.187299
0.010000,2.346712,4.448879,0.648040,1.571236,1.934003,0.285512,6.184750
0.010000,2.362539,4.447295,0.663946,1.590605,1.936880,0.287719,6.182162
0.010000,2.378555,4.445650,0.680046,1.609955,1.935048,-0.183169,6.179534
0.010000,2.394758,4.443943,0.696339,1.629320,1.936465,0.141672,6.176865
0.010000,2.411150,4.442171,0.712826,1.648698,1.937797,0.133184,6.174157
0.010000,2.427729,4.440333,0.729507,1.668088,1.939045,0.124832,6.171407
0.010000,2.444496,4.438427,0.746382,1.687491,1.940212,0.116626,6.168616
0.010000,2.461450,4.436452,0.763451,1.706904,1.941297,0.108573,6.165785
0.010000,2.478592,4.434405,0.780714,1.726327,1.942304,0.100683,6.162911
0.010000,2.495920,4.432285,0.798172,1.745759,1.943234,0.092965,6.159995
0.010000,2.513435,4.430091,0.815824,1.765200,1.944088,0.085427,6.157037
0.010000,2.531137,4.427819,0.833670,1.784671,1.947129,0.304105,6.154036
0.010000,2.549024,4.425468,0.851712,1.804152,1.948119,0.099030,6.150992
0.010000,2.567098,4.423036,0.869948,1.823621,1.946904,-0.121533,6.147905
