dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700000,4.130000,0.000030,0.005988,0.598802,59.880240,0.000824
0.010000,1.700000,4.130000,0.000150,0.017964,1.197605,59.880240,0.000806
0.010000,1.700000,4.130000,0.000419,0.035928,1.796407,59.880240,0.000766
0.010000,1.700000,4.130000,0.000868,0.053892,1.796407,-0.000000,0.000699
0.010000,1.700000,4.130000,0.001497,0.071856,1.796407,0.000000,0.000605
0.010000,1.700000,4.130000,0.002305,0.089820,1.796407,0.000000,0.000485
0.010000,1.700000,4.130000,0.003293,0.107784,1.796407,-0.000000,0.000338
0.010000,1.700000,4.130000,0.004461,0.125749,1.796407,0.000000,0.000164
0.010000,1.700246,4.130000,0.005808,0.143713,1.796407,0.000000,6.283149
0.010000,1.701773,4.130000,0.007335,0.161677,1.796407,0.000000,6.282921
0.010000,1.703480,4.129999,0.009042,0.179641,1.796407,0.000000,6.282667
0.010000,1.705366,4.129998,0.010928,0.197605,1.796407,0.000000,6.282386
0.010000,1.707432,4.129996,0.012994,0.215569,1.796407,-0.000000,6.282078
0.010000,1.709677,4.129993,0.015240,0.233533,1.796407,0.000000,6.281742
0.010000,1.712102,4.129989,0.017665,0.251497,1.796407,-0.000000,6.281380
0.010000,1.714707,4.129984,0.020269,0.269461,1.796407,0.000000,6.280991
0.010000,1.717491,4.129977,0.023054,0.287425,1.796407,-0.000000,6.280575
0.010000,1.720456,4.129969,0.026018,0.305389,1.796407,0.000000,6.280131
0.010000,1.723599,4.129958,0.029162,0.323353,1.796407,-0.000000,6.279661
0.010000,1.726923,4.129946,0.032485,0.341317,1.796407,0.000000,6.279163
0.010000,1.730426,4.129931,0.035988,0.359281,1.796407,-0.000000,6.278637
0.010000,1.734108,4.129913,0.039671,0.377246,1.796407,0.000000,6.278084
0.010000,1.737970,4.129892,0.043533,0.395210,1.796407,0.000000,6.277504
0.010000,1.742012,4.129868,0.047575,0.413174,1.796407,0.000000,6.276896
0.010000,1.746234,4.129840,0.051796,0.431138,1.796407,-0.000000,6.276261
0.010000,1.750635,4.129808,0.056198,0.449102,1.796407,0.000000,6.275597
0.010000,1.755215,4.129772,0.060778,0.467066,1.796407,0.000000,6.274906
0.010000,1.759976,4.129731,0.065539,0.485030,1.796407,-0.000000,6.274187
0.010000,1.764916,4.129685,0.070479,0.502994,1.796407,0.000000,6.273440
0.010000,1.770035,4.129633,0.075599,0.520958,1.796407,0.000000,6.272665
0.010000,1.775334,4.129575,0.080898,0.538922,1.796407,0.000000,6.271861
0.010000,1.780813,4.129510,0.086377,0.556886,1.796407,-0.000000,6.271029
0.010000,1.786471,4.129439,0.092036,0.574850,1.796407,0.000000,6.270169
0.010000,1.792309,4.129361,0.097874,0.592814,1.796407,0.000000,6.269280
0.010000,1.798326,4.129274,0.103892,0.610778,1.796407,0.000000,6.268363
0.010000,1.804523,4.129179,0.110090,0.628743,1.796407,-0.000000,6.267417
0.010000,1.810899,4.129076,0.116467,0.646707,1.796407,0.000000,6.266441
0.010000,1.817455,4.128963,0.123024,0.664671,1.796407,0.000000,6.265437
0.010000,1.824191,4.128840,0.129760,0.682635,1.796407,0.000000,6.264403
0.010000,1.831106,4.128706,0.136677,0.700599,1.796407,-0.000000,6.263341
0.010000,1.838200,4.128561,0.143772,0.718563,1.796407,0.000000,6.262248
0.010000,1.845474,4.128405,0.151048,0.736527,1.796407,0.000000,6.261126
0.010000,1.852927,4.128236,0.158503,0.754491,1.796407,-0.000000,6.259975
0.010000,1.860559,4.128055,0.166138,0.772455,1.796407,0.000000,6.258793
0.010000,1.868372,4.127859,0.173952,0.790419,1.796407,0.000000,6.257581
0.010000,1.876363,4.127650,0.181946,0.808383,1.796407,0.000000,6.256339
0.010000,1.884533,4.127425,0.190120,0.826347,1.796407,0.000000,6.255067
0.010000,1.892883,4.127185,0.198473,0.844311,1.796407,-0.000000,6.253764
0.010000,1.901412,4.126928,0.207006,0.862275,1.796407,0.000000,6.252430
0.010000,1.910120,4.126654,0.215719,0.880240,1.796407,0.000000,6.251066
0.010000,1.919008,4.126362,0.224611,0.898204,1.796407,-0.000000,6.249670
0.010000,1.928075,4.126052,0.233683,0.916168,1.796407,0.000000,6.248243
0.010000,1.937320,4.125722,0.242934,0.934132,1.796407,0.000000,6.246784
0.010000,1.946745,4.125372,0.252365,0.952096,1.796407,0.000000,6.245294
0.010000,1.956348,4.125000,0.261976,0.970060,1.796407,-0.000000,6.243772
0.010000,1.966131,4.124607,0.271766,0.988024,1.796407,0.000000,6.242218
0.010000,1.976092,4.124191,0.281737,1.005988,1.796407,0.000000,6.240632
0.010000,1.986232,4.123751,0.291886,1.023952,1.796407,0.000000,6.239013
0.010000,1.996551,4.123286,0.302216,1.041916,1.796407,0.000000,6.237361
0.010000,2.007049,4.122796,0.312725,1.059880,1.796407,0.000000,6.235677
0.010000,2.017725,4.122279,0.323413,1.077844,1.796407,0.000000,6.233959
0.010000,2.028579,4.121735,0.334281,1.095808,1.796407,0.000000,6.232209
0.010000,2.039612,4.121162,0.345329,1.113772,1.796407,-0.000000,6.230424
0.010000,2.050824,4.120560,0.356557,1.131737,1.796407,0.000000,6.228606
0.010000,2.062213,4.119927,0.367964,1.149701,1.796407,0.000000,6.226753
0.010000,2.073781,4.119263,0.379551,1.167665,1.796407,0.000000,6.224867
0.010000,2.085527,4.118565,0.391317,1.185629,1.796407,0.000000,6.222946
0.010000,2.097451,4.117835,0.403263,1.203593,1.796407,0.000000,6.220990
0.010000,2.109552,4.117069,0.415389,1.221557,1.796407,0.000000,6.218999
0.010000,2.121832,4.116267,0.427695,1.239521,1.796407,-0.000000,6.216973
0.010000,2.134289,4.115428,0.440180,1.257485,1.796407,0.000000,6.214911
0.010000,2.146923,4.114551,0.452844,1.275449,1.796407,0.000000,6.212813
0.010000,2.159734,4.113634,0.465689,1.293413,1.796407,0.000000,6.210680
0.010000,2.172723,4.112677,0.478713,1.311377,1.796407,0.000000,6.208510
0.010000,2.185889,4.111677,0.491916,1.329341,1.796407,0.000000,6.206303
0.010000,2.199231,4.110634,0.505299,1.347305,1.796407,0.000000,6.204060
0.010000,2.212750,4.109547,0.518862,1.365269,1.796407,0.000000,6.201779
0.010000,2.226446,4.108413,0.532605,1.383234,1.796407,-0.000000,6.199461
0.010000,2.240318,4.107233,0.546527,1.401198,1.796407,0.000000,6.197105
0.010000,2.254366,4.106004,0.560629,1.419162,1.796407,0.000000,6.194712
0.010000,2.268590,4.104724,0.574910,1.437126,1.796407,0.000000,6.192279
0.010000,2.282990,4.103394,0.589371,1.455090,1.796407,0.000000,6.189809
0.010000,2.297565,4.102010,0.604012,1.473054,1.796407,0.000000,6.187299
0.010000,2.312316,4.100573,0.618832,1.491018,1.796407,0.000000,6.184750
0.010000,2.327241,4.099079,0.633832,1.508982,1.796407,-0.000000,6.182162
0.010000,2.342341,4.097529,0.649012,1.526946,1.796407,0.000000,6.179534
0.010000,2.357616,4.095919,0.664371,1.544910,1.796407,-0.000000,6.176865
0.010000,2.373065,4.094249,0.679910,1.562874,1.796407,0.000000,6.174157
0.010000,2.388688,4.092517,0.695629,1.580838,1.796407,0.000000,6.171407
0.010000,2.404484,4.090722,0.711527,1.598802,1.796407,-0.000000,6.168616
0.010000,2.420454,4.088861,0.727605,1.616766,1.796407,0.000000,6.165785
0.010000,2.436597,4.086934,0.743862,1.634731,1.796407,-0.000000,6.162911
0.010000,2.452912,4.084938,0.760299,1.652695,1.796407,0.000000,6.159995
0.010000,2.469400,4.082872,0.776916,1.670659,1.796407,-0.000000,6.157037
0.010000,2.486060,4.080733,0.793713,1.688623,1.796407,0.000000,6.154036
0.010000,2.502891,4.078522,0.810689,1.706587,1.796407,0.000000,6.150992
0.010000,2.519894,4.076234,0.827844,1.724551,1.796407,-0.000000,6.147905
0.010000,2.537067,4.073869,0.845180,1.742515,1.796407,0.000000,6.144774
0.010000,2.554411,4.071425,0.862695,1.760479,1.796407,0.000000,6.141599
0.010000,2.571924,4.068900,0.880389,1.778443,1.796407,-0.000000,6.138380
0.010000,2.589607,4.066292,0.898263,1.796407,1.796407,0.000000,6.135116
0.010000,2.607459,4.063599,0.916317,1.814371,1.796407,0.000000,6.131807
0.010000,2.625479,4.060819,0.934551,1.832335,1.796407,0.000000,6.128452
0.010000,2.643668,4.057950,0.952964,1.850299,1.796407,-0.000000,6.125052
0.010000,2.662023,4.054991,0.971557,1.868263,1.796407,0.000000,6.121606
0.010000,2.680546,4.051939,0.990329,1.886228,1.796407,0.000000,6.118114
0.010000,2.699235,4.048791,1.009281,1.904192,1.796407,-0.000000,6.114575
0.010000,2.718090,4.045547,1.028413,1.922156,1.796407,0.000000,6.110989
0.010000,2.737109,4.042203,1.047725,1.940120,1.796407,0.000000,6.107355
0.010000,2.756293,4.038759,1.067216,1.958084,1.796407,0.000000,6.103674
0.010000,2.775642,4.035210,1.086886,1.976048,1.796407,-0.000000,6.099945
0.010000,2.795153,4.031556,1.106737,1.994012,1.796407,0.000000,6.096168
0.010000,2.814826,4.027795,1.126766,2.011976,1.796407,-0.000000,6.092342
0.010000,2.834661,4.023923,1.146976,2.029940,1.796407,0.000000,6.088467
0.010000,2.854657,4.019938,1.167365,2.047904,1.796407,-0.000000,6.084543
0.010000,2.874814,4.015839,1.187934,2.065868,1.796407,0.000000,6.080569
0.010000,2.895129,4.011623,1.208683,2.083832,1.796407,-0.000000,6.076545
0.010000,2.915603,4.007288,1.229611,2.101796,1.796407,0.000000,6.072472
0.010000,2.936235,4.002830,1.250719,2.119760,1.796407,0.000000,6.068348
0.010000,2.957024,3.998249,1.272006,2.137725,1.796407,-0.000000,6.064173
0.010000,2.977968,3.993540,1.293473,2.155689,1.796407,0.000000,6.059947
0.010000,2.999067,3.988703,1.315120,2.173653,1.796407,-0.000000,6.055670
0.010000,3.020320,3.983734,1.336946,2.191617,1.796407,0.000000,6.051342
0.010000,3.041726,3.978631,1.358952,2.209581,1.796407,-0.000000,6.046962
0.010000,3.063284,3.973391,1.381138,2.227545,1.796407,0.000000,6.042529
0.010000,3.084993,3.968012,1.403503,2.245509,1.796407,0.000000,6.038045
0.010000,3.106852,3.962491,1.426048,2.263473,1.796407,-0.000000,6.033508
0.010000,3.128859,3.956825,1.448772,2.281437,1.796407,0.000000,6.028919
0.010000,3.151013,3.951012,1.471677,2.299401,1.796407,-0.000000,6.024276
0.010000,3.173313,3.945050,1.494760,2.317365,1.796407,0.000000,6.019581
0.010000,3.195759,3.938935,1.518024,2.335329,1.796407,-0.000000,6.014832
0.010000,3.218348,3.932665,1.541467,2.353293,1.796407,0.000000,6.010030
0.010000,3.241079,3.926237,1.565090,2.371257,1.796407,0.000000,6.005175
0.010000,3.263952,3.919649,1.588892,2.389222,1.796407,-0.000000,6.000266
0.010000,3.286963,3.912897,1.612874,2.407186,1.796407,0.000000,5.995303
0.010000,3.310113,3.905979,1.637036,2.425150,1.796407,-0.000000,5.990286
0.010000,3.333400,3.898892,1.661377,2.443114,1.796407,0.000000,5.985215
0.010000,3.356822,3.891633,1.685898,2.461078,1.796407,-0.000000,5.980091
0.010000,3.380377,3.884199,1.710599,2.479042,1.796407,0.000000,5.974912
0.010000,3.404065,3.876588,1.735479,2.497006,1.796407,0.000000,5.969679
0.010000,3.427883,3.868797,1.760539,2.514970,1.796407,-0.000000,5.964392
0.010000,3.451830,3.860822,1.785778,2.532934,1.796407,0.000000,5.959051
0.010000,3.475903,3.852662,1.811198,2.550898,1.796407,-0.000000,5.953656
0.010000,3.500102,3.844312,1.836796,2.568862,1.796407,0.000000,5.948207
0.010000,3.524424,3.835771,1.862575,2.586826,1.796407,-0.000000,5.942704
0.010000,3.548868,3.827034,1.888533,2.604790,1.796407,0.000000,5.937147
0.010000,3.573431,3.818100,1.914671,2.622754,1.796407,-0.000000,5.931537
