dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700288,3.780000,0.000030,0.005988,0.598802,59.880240,0.000824
0.010000,1.700282,3.780000,0.000036,0.000624,-0.536440,-113.524190,0.000806
0.010000,1.700268,3.780000,0.000050,0.001403,0.077958,61.439770,0.000766
0.010000,1.700245,3.780000,0.000074,0.002339,0.093561,1.560329,0.000699
0.010000,1.700212,3.780000,0.000106,0.003275,0.093583,0.002113,0.000605
0.010000,1.700170,3.780000,0.000148,0.004211,0.093612,0.002958,0.000485
0.010000,1.700118,3.780000,0.000200,0.005147,0.093650,0.003803,0.000338
0.010000,1.700057,3.780000,0.000261,0.006084,0.093697,0.004649,0.000164
0.010000,1.700233,3.780000,0.000436,0.017568,1.148381,105.468478,6.283149
0.010000,1.701681,3.780000,0.001884,0.144755,12.718667,1157.028521,6.282921
0.010000,1.703298,3.779999,0.003502,0.161760,1.700529,-1101.813725,6.282667
0.010000,1.705086,3.779998,0.005289,0.178757,1.699708,-0.082117,6.282386
0.010000,1.707044,3.779996,0.007247,0.195825,1.706748,0.703957,6.282078
0.010000,1.709172,3.779993,0.009376,0.212819,1.699400,-0.734799,6.281742
0.010000,1.711471,3.779990,0.011674,0.229835,1.701658,0.225798,6.281380
0.010000,1.713939,3.779985,0.014143,0.246867,1.703210,0.155168,6.280991
0.010000,1.716578,3.779978,0.016781,0.263860,1.699288,-0.392149,6.280575
0.010000,1.719387,3.779970,0.019590,0.280896,1.703605,0.431725,6.280131
0.010000,1.722366,3.779961,0.022569,0.297892,1.699630,-0.397574,6.279661
0.010000,1.725515,3.779949,0.025718,0.314898,1.700598,0.096851,6.279163
0.010000,1.728834,3.779935,0.029037,0.331925,1.702673,0.207445,6.278637
0.010000,1.732323,3.779918,0.032526,0.348900,1.697487,-0.518599,6.278084
0.010000,1.735982,3.779898,0.036186,0.365918,1.701834,0.434731,6.277504
0.010000,1.739811,3.779875,0.040015,0.382928,1.700943,-0.089077,6.276896
0.010000,1.743810,3.779849,0.044014,0.399908,1.698000,-0.294262,6.276261
0.010000,1.747979,3.779818,0.048183,0.416890,1.698254,0.025378,6.275597
0.010000,1.752318,3.779784,0.052522,0.433887,1.699618,0.136383,6.274906
0.010000,1.756826,3.779745,0.057031,0.450892,1.700552,0.093434,6.274187
0.010000,1.761505,3.779701,0.061709,0.467869,1.697706,-0.284607,6.273440
0.010000,1.766353,3.779652,0.066558,0.484845,1.697604,-0.010185,6.272665
0.010000,1.771371,3.779597,0.071576,0.501819,1.697414,-0.019092,6.271861
0.010000,1.776559,3.779536,0.076764,0.518791,1.697134,-0.027981,6.271029
0.010000,1.781916,3.779469,0.082121,0.535758,1.696765,-0.036847,6.270169
0.010000,1.787442,3.779394,0.087649,0.552721,1.696308,-0.045689,6.269280
0.010000,1.793139,3.779313,0.093345,0.569679,1.695763,-0.054504,6.268363
0.010000,1.799004,3.779223,0.099212,0.586630,1.695130,-0.063289,6.267417
0.010000,1.805039,3.779125,0.105248,0.603581,1.695026,-0.010465,6.266441
0.010000,1.811244,3.779018,0.111453,0.620554,1.697322,0.229620,6.265437
0.010000,1.817618,3.778901,0.117828,0.637488,1.693451,-0.387095,6.264403
0.010000,1.824161,3.778775,0.124372,0.654413,1.692467,-0.098406,6.263341
0.010000,1.830873,3.778638,0.131085,0.671327,1.691397,-0.107005,6.262248
0.010000,1.837754,3.778490,0.137968,0.688299,1.697221,0.582439,6.261126
0.010000,1.844804,3.778331,0.145020,0.705200,1.690072,-0.714889,6.259975
0.010000,1.852023,3.778159,0.152241,0.722096,1.689618,-0.045438,6.258793
0.010000,1.859411,3.777974,0.159632,0.739049,1.695304,0.568627,6.257581
0.010000,1.866968,3.777776,0.167191,0.755911,1.686209,-0.909533,6.256339
0.010000,1.874693,3.777563,0.174919,0.772853,1.694152,0.794305,6.255067
0.010000,1.882587,3.777336,0.182816,0.789704,1.685143,-0.900885,6.253764
0.010000,1.890650,3.777094,0.190883,0.806637,1.693241,0.809791,6.252430
0.010000,1.898881,3.776835,0.199118,0.823478,1.684139,-0.910253,6.251066
0.010000,1.907280,3.776559,0.207521,0.840383,1.690525,0.638631,6.249670
0.010000,1.915847,3.776266,0.216094,0.857244,1.686109,-0.441609,6.248243
0.010000,1.924583,3.775954,0.224835,0.874084,1.684018,-0.209123,6.246784
0.010000,1.933486,3.775623,0.233744,0.890967,1.688243,0.422504,6.245294
0.010000,1.942557,3.775272,0.242823,0.907817,1.684980,-0.326216,6.243772
0.010000,1.951796,3.774901,0.252069,0.924647,1.683051,-0.192976,6.242218
0.010000,1.961203,3.774508,0.261484,0.941475,1.682803,-0.024818,6.240632
0.010000,1.970777,3.774092,0.271067,0.958300,1.682459,-0.034359,6.239013
0.010000,1.980518,3.773654,0.280818,0.975127,1.682750,0.029078,6.237361
0.010000,1.990427,3.773191,0.290738,0.991949,1.682156,-0.059404,6.235677
0.010000,2.000503,3.772703,0.300825,1.008750,1.680108,-0.204748,6.233959
0.010000,2.010745,3.772190,0.311080,1.025544,1.679396,-0.071215,6.232209
0.010000,2.021155,3.771649,0.321504,1.042330,1.678592,-0.080381,6.230424
0.010000,2.031730,3.771081,0.332095,1.059107,1.677698,-0.089457,6.228606
0.010000,2.042473,3.770484,0.342854,1.075895,1.678779,0.108086,6.226753
0.010000,2.053381,3.769858,0.353780,1.092661,1.676601,-0.217766,6.224867
0.010000,2.064456,3.769200,0.364875,1.109413,1.675192,-0.140886,6.222946
0.010000,2.075697,3.768511,0.376136,1.126152,1.673937,-0.125478,6.220990
0.010000,2.087102,3.767790,0.387565,1.142878,1.672597,-0.134025,6.218999
0.010000,2.098674,3.767034,0.399161,1.159625,1.674729,0.213218,6.216973
0.010000,2.110411,3.766244,0.410925,1.176352,1.672701,-0.202813,6.214911
0.010000,2.122313,3.765417,0.422855,1.193040,1.668751,-0.395020,6.212813
0.010000,2.134380,3.764554,0.434953,1.209760,1.672015,0.326457,6.210680
0.010000,2.146611,3.763652,0.447217,1.226450,1.669045,-0.297045,6.208510
0.010000,2.159006,3.762711,0.459648,1.243119,1.666861,-0.218431,6.206303
0.010000,2.171566,3.761729,0.472246,1.259814,1.669529,0.266848,6.204060
0.010000,2.184290,3.760706,0.485011,1.276457,1.664290,-0.523913,6.201779
