dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700000,4.130000,0.000030,0.005975,0.597513,59.751252,0.000399
0.010000,1.700000,4.130000,0.000149,0.017925,1.195025,59.751252,0.000381
0.010000,1.700000,4.130000,0.000418,0.035851,1.792538,59.751252,0.000342
0.010000,1.700000,4.130000,0.000866,0.053776,1.792538,0.000000,0.000276
0.010000,1.700000,4.130000,0.001494,0.071702,1.792538,-0.000000,0.000185
0.010000,1.700000,4.130000,0.002300,0.089627,1.792538,0.000000,0.000067
0.010000,1.700531,4.130000,0.003286,0.107552,1.792538,-0.000000,6.283108
0.010000,1.701696,4.130000,0.004451,0.125478,1.792538,0.000000,6.282937
0.010000,1.703040,4.129999,0.005796,0.143403,1.792538,0.000000,6.282740
0.010000,1.704564,4.129998,0.007320,0.161328,1.792538,0.000000,6.282517
0.010000,1.706267,4.129997,0.009022,0.179254,1.792538,-0.000000,6.282267
0.010000,1.708149,4.129995,0.010905,0.197179,1.792538,0.000000,6.281992
0.010000,1.710211,4.129992,0.012966,0.215105,1.792538,-0.000000,6.281689
0.010000,1.712451,4.129989,0.015207,0.233030,1.792538,0.000000,6.281361
0.010000,1.714871,4.129984,0.017627,0.250955,1.792538,-0.000000,6.281006
0.010000,1.717470,4.129978,0.020226,0.268881,1.792538,0.000000,6.280624
0.010000,1.720249,4.129970,0.023004,0.286806,1.792538,-0.000000,6.280216
0.010000,1.723207,4.129961,0.025962,0.304731,1.792538,0.000000,6.279781
0.010000,1.726343,4.129949,0.029099,0.322657,1.792538,0.000000,6.279320
0.010000,1.729660,4.129936,0.032415,0.340582,1.792538,-0.000000,6.278832
0.010000,1.733155,4.129919,0.035911,0.358508,1.792538,0.000000,6.278318
0.010000,1.736830,4.129901,0.039585,0.376433,1.792538,-0.000000,6.277776
0.010000,1.740684,4.129879,0.043439,0.394358,1.792538,0.000000,6.277208
0.010000,1.744717,4.129853,0.047472,0.412284,1.792538,-0.000000,6.276613
0.010000,1.748929,4.129824,0.051685,0.430209,1.792538,0.000000,6.275991
0.010000,1.753321,4.129791,0.056077,0.448134,1.792538,0.000000,6.275343
0.010000,1.757891,4.129754,0.060648,0.466060,1.792538,-0.000000,6.274667
0.010000,1.762641,4.129712,0.065398,0.483985,1.792538,0.000000,6.273964
0.010000,1.767571,4.129664,0.070327,0.501911,1.792538,-0.000000,6.273234
0.010000,1.772679,4.129612,0.075436,0.519836,1.792538,0.000000,6.272477
0.010000,1.777967,4.129553,0.080724,0.537761,1.792538,0.000000,6.271692
0.010000,1.783434,4.129488,0.086191,0.555687,1.792538,-0.000000,6.270880
0.010000,1.789080,4.129416,0.091838,0.573612,1.792538,0.000000,6.270041
0.010000,1.794905,4.129337,0.097663,0.591537,1.792538,0.000000,6.269174
0.010000,1.800909,4.129250,0.103668,0.609463,1.792538,-0.000000,6.268279
0.010000,1.807093,4.129155,0.109853,0.627388,1.792538,0.000000,6.267357
0.010000,1.813456,4.129051,0.116216,0.645314,1.792538,0.000000,6.266407
0.010000,1.819997,4.128938,0.122759,0.663239,1.792538,-0.000000,6.265429
0.010000,1.826718,4.128816,0.129481,0.681164,1.792538,0.000000,6.264423
0.010000,1.833618,4.128683,0.136382,0.699090,1.792538,0.000000,6.263389
0.010000,1.840697,4.128539,0.143463,0.717015,1.792538,-0.000000,6.262327
0.010000,1.847955,4.128383,0.150723,0.734940,1.792538,0.000000,6.261237
0.010000,1.855393,4.128216,0.158162,0.752866,1.792538,0.000000,6.260118
0.010000,1.863009,4.128036,0.165780,0.770791,1.792538,0.000000,6.258971
0.010000,1.870804,4.127842,0.173577,0.788717,1.792538,0.000000,6.257795
0.010000,1.878778,4.127635,0.181554,0.806642,1.792538,-0.000000,6.256591
0.010000,1.886931,4.127413,0.189710,0.824567,1.792538,0.000000,6.255358
0.010000,1.895263,4.127176,0.198046,0.842493,1.792538,0.000000,6.254096
0.010000,1.903774,4.126923,0.206560,0.860418,1.792538,-0.000000,6.252805
0.010000,1.912463,4.126653,0.215254,0.878343,1.792538,0.000000,6.251485
0.010000,1.921332,4.126366,0.224127,0.896269,1.792538,0.000000,6.250136
0.010000,1.930379,4.126061,0.233179,0.914194,1.792538,-0.000000,6.248757
0.010000,1.939605,4.125736,0.242411,0.932120,1.792538,0.000000,6.247349
0.010000,1.949009,4.125392,0.251822,0.950045,1.792538,0.000000,6.245911
0.010000,1.958592,4.125028,0.261412,0.967970,1.792538,-0.000000,6.244444
0.010000,1.968354,4.124642,0.271181,0.985896,1.792538,0.000000,6.242946
0.010000,1.978294,4.124234,0.281130,1.003821,1.792538,-0.000000,6.241419
0.010000,1.988413,4.123804,0.291257,1.021746,1.792538,0.000000,6.239862
0.010000,1.998710,4.123349,0.301565,1.039672,1.792538,-0.000000,6.238274
0.010000,2.009185,4.122870,0.312051,1.057597,1.792538,0.000000,6.236656
0.010000,2.019839,4.122365,0.322717,1.075523,1.792538,-0.000000,6.235007
0.010000,2.030671,4.121834,0.333561,1.093448,1.792538,0.000000,6.233328
0.010000,2.041681,4.121275,0.344585,1.111373,1.792538,0.000000,6.231618
0.010000,2.052869,4.120688,0.355789,1.129299,1.792538,0.000000,6.229877
0.010000,2.064235,4.120071,0.367171,1.147224,1.792538,-0.000000,6.228105
0.010000,2.075778,4.119424,0.378733,1.165149,1.792538,0.000000,6.226302
0.010000,2.087500,4.118746,0.390474,1.183075,1.792538,-0.000000,6.224468
0.010000,2.099399,4.118035,0.402395,1.201000,1.792538,0.000000,6.222602
0.010000,2.111476,4.117291,0.414494,1.218926,1.792538,0.000000,6.220704
0.010000,2.123730,4.116513,0.426773,1.236851,1.792538,0.000000,6.218774
0.010000,2.136162,4.115699,0.439231,1.254776,1.792538,0.000000,6.216813
0.010000,2.148770,4.114848,0.451869,1.272702,1.792538,0.000000,6.214819
0.010000,2.161556,4.113959,0.464685,1.290627,1.792538,0.000000,6.212794
0.010000,2.174519,4.113032,0.477681,1.308552,1.792538,-0.000000,6.210735
0.010000,2.187658,4.112065,0.490857,1.326478,1.792538,0.000000,6.208645
0.010000,2.200975,4.111056,0.504211,1.344403,1.792538,-0.000000,6.206521
0.010000,2.214467,4.110005,0.517745,1.362329,1.792538,0.000000,6.204365
0.010000,2.228137,4.108910,0.531458,1.380254,1.792538,0.000000,6.202175
0.010000,2.241982,4.107771,0.545350,1.398179,1.792538,0.000000,6.199953
0.010000,2.256003,4.106585,0.559421,1.416105,1.792538,-0.000000,6.197697
0.010000,2.270201,4.105352,0.573672,1.434030,1.792538,0.000000,6.195407
0.010000,2.284573,4.104070,0.588102,1.451955,1.792538,-0.000000,6.193084
0.010000,2.299122,4.102739,0.602711,1.469881,1.792538,0.000000,6.190727
0.010000,2.313845,4.101356,0.617499,1.487806,1.792538,0.000000,6.188337
0.010000,2.328744,4.099920,0.632467,1.505732,1.792538,0.000000,6.185912
0.010000,2.343818,4.098430,0.647614,1.523657,1.792538,0.000000,6.183452
0.010000,2.359066,4.096885,0.662940,1.541582,1.792538,-0.000000,6.180959
0.010000,2.374488,4.095284,0.678446,1.559508,1.792538,0.000000,6.178431
0.010000,2.390085,4.093624,0.694130,1.577433,1.792538,0.000000,6.175868
0.010000,2.405855,4.091904,0.709994,1.595358,1.792538,-0.000000,6.173270
0.010000,2.421799,4.090123,0.726037,1.613284,1.792538,-0.000000,6.170637
0.010000,2.437917,4.088280,0.742260,1.631209,1.792538,0.000000,6.167969
0.010000,2.454207,4.086372,0.758662,1.649135,1.792538,-0.000000,6.165266
0.010000,2.470670,4.084399,0.775243,1.667060,1.792538,0.000000,6.162527
0.010000,2.487306,4.082358,0.792003,1.684985,1.792538,0.000000,6.159752
0.010000,2.504113,4.080249,0.808942,1.702911,1.792538,-0.000000,6.156942
0.010000,2.521093,4.078070,0.826061,1.720836,1.792538,-0.000000,6.154096
0.010000,2.538244,4.075818,0.843359,1.738761,1.792538,0.000000,6.151214
0.010000,2.555566,4.073493,0.860836,1.756687,1.792538,-0.000000,6.148296
0.010000,2.573058,4.071093,0.878493,1.774612,1.792538,0.000000,6.145341
0.010000,2.590721,4.068616,0.896329,1.792538,1.792538,0.000000,6.142350
0.010000,2.608554,4.066060,0.914344,1.810463,1.792538,-0.000000,6.139322
0.010000,2.626556,4.063424,0.932538,1.828388,1.792538,0.000000,6.136258
0.010000,2.644727,4.060706,0.950911,1.846314,1.792538,0.000000,6.133157
0.010000,2.663067,4.057904,0.969464,1.864239,1.792538,-0.000000,6.130019
0.010000,2.681576,4.055017,0.988196,1.882164,1.792538,-0.000000,6.126844
0.010000,2.700251,4.052042,1.007107,1.900090,1.792538,0.000000,6.123631
0.010000,2.719095,4.048978,1.026198,1.918015,1.792538,-0.000000,6.120382
0.010000,2.738104,4.045824,1.045468,1.935941,1.792538,0.000000,6.117095
0.010000,2.757280,4.042577,1.064917,1.953866,1.792538,0.000000,6.113771
