dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700140,3.780000,0.000030,0.005975,0.597513,59.751252,0.000399
0.010000,1.700133,3.780000,0.000036,0.000612,-0.536315,-113.382722,0.000381
0.010000,1.700120,3.780000,0.000050,0.001377,0.076501,61.281596,0.000342
0.010000,1.700097,3.780000,0.000073,0.002295,0.091812,1.531037,0.000276
0.010000,1.700065,3.780000,0.000105,0.003213,0.091830,0.001836,0.000185
0.010000,1.700023,3.780000,0.000146,0.004132,0.091856,0.002570,0.000067
0.010000,1.700504,3.780000,0.000627,0.048044,4.391236,429.938076,6.283108
0.010000,1.701609,3.780000,0.001732,0.110546,6.250122,185.888583,6.282937
0.010000,1.702885,3.779999,0.003008,0.127548,1.700258,-454.986410,6.282740
0.010000,1.704330,3.779999,0.004453,0.144556,1.700793,0.053501,6.282517
0.010000,1.705946,3.779997,0.006069,0.161558,1.700194,-0.059933,6.282267
0.010000,1.707731,3.779995,0.007854,0.178559,1.700141,-0.005306,6.281992
0.010000,1.709687,3.779993,0.009810,0.195565,1.700595,0.045469,6.281689
0.010000,1.711813,3.779989,0.011936,0.212565,1.699952,-0.064327,6.281361
0.010000,1.714108,3.779985,0.014231,0.229564,1.699928,-0.002457,6.281006
0.010000,1.716574,3.779979,0.016697,0.246563,1.699863,-0.006428,6.280624
0.010000,1.719210,3.779971,0.019332,0.263560,1.699760,-0.010379,6.280216
0.010000,1.722015,3.779963,0.022138,0.280557,1.699616,-0.014309,6.279781
0.010000,1.724991,3.779952,0.025114,0.297551,1.699434,-0.018215,6.279320
0.010000,1.728136,3.779939,0.028259,0.314543,1.699213,-0.022096,6.278832
0.010000,1.731451,3.779924,0.031574,0.331534,1.699047,-0.016638,6.278318
0.010000,1.734937,3.779906,0.035060,0.348527,1.699352,0.030538,6.277776
0.010000,1.738592,3.779885,0.038715,0.365512,1.698471,-0.088106,6.277208
0.010000,1.742417,3.779861,0.042540,0.382498,1.698662,0.019078,6.276613
0.010000,1.746411,3.779833,0.046534,0.399482,1.698363,-0.029905,6.275991
0.010000,1.750576,3.779802,0.050699,0.416464,1.698246,-0.011699,6.275343
