dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.699959,4.480000,0.000030,0.005988,0.598802,59.880240,0.000118
0.010000,1.699961,4.480000,0.000032,0.000206,-0.578218,-117.702019,0.000112
0.010000,1.699965,4.480000,0.000037,0.000463,0.025755,60.397271,0.000099
0.010000,1.699973,4.480000,0.000044,0.000773,0.030967,0.521246,0.000077
0.010000,1.699984,4.480000,0.000055,0.001084,0.031079,0.011156,0.000046
0.010000,1.699998,4.480000,0.000069,0.001396,0.031235,0.015619,0.000006
0.010000,1.700886,4.480000,0.000957,0.088800,8.740367,870.913181,6.283142
0.010000,1.702074,4.480000,0.002145,0.118794,2.999372,-574.099467,6.283084
0.010000,1.703445,4.480000,0.003516,0.137078,1.828441,-117.093129,6.283017
0.010000,1.704998,4.479999,0.005070,0.155364,1.828626,0.018476,6.282941
0.010000,1.706735,4.479999,0.006806,0.173656,1.829210,0.058426,6.282855
0.010000,1.708654,4.479998,0.008726,0.191951,1.829492,0.028207,6.282760
0.010000,1.710757,4.479997,0.010828,0.210251,1.829975,0.048288,6.282656
0.010000,1.713042,4.479996,0.013114,0.228556,1.830510,0.053500,6.282541
0.010000,1.715511,4.479994,0.015582,0.246867,1.831081,0.057064,6.282417
0.010000,1.718163,4.479992,0.018234,0.265184,1.831687,0.060606,6.282282
0.010000,1.720998,4.479989,0.021069,0.283507,1.832328,0.064125,6.282138
0.010000,1.724016,4.479986,0.024088,0.301837,1.833004,0.067621,6.281982
0.010000,1.727218,4.479982,0.027289,0.320175,1.833739,0.073488,6.281817
0.010000,1.730603,4.479977,0.030675,0.338521,1.834666,0.092657,6.281640
0.010000,1.734172,4.479971,0.034243,0.356874,1.835288,0.062270,6.281452
0.010000,1.737924,4.479964,0.037996,0.375237,1.836339,0.105076,6.281253
0.010000,1.741861,4.479956,0.041932,0.393608,1.837089,0.074946,6.281042
0.010000,1.745980,4.479947,0.046052,0.411991,1.838290,0.120138,6.280819
0.010000,1.750284,4.479936,0.050356,0.430382,1.839113,0.082266,6.280584
0.010000,1.754772,4.479924,0.054843,0.448784,1.840209,0.109628,6.280337
0.010000,1.759444,4.479910,0.059515,0.467198,1.841342,0.113286,6.280076
0.010000,1.764300,4.479894,0.064372,0.485623,1.842511,0.116904,6.279803
