dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700288,4.480000,0.000030,0.005988,0.598802,59.880240,6.282362
0.010000,1.700282,4.480000,0.000036,0.000624,-0.536440,-113.524190,6.282380
0.010000,1.700268,4.480000,0.000050,0.001403,0.077958,61.439770,6.282420
0.010000,1.700245,4.480000,0.000074,0.002339,0.093561,1.560329,6.282487
0.010000,1.700212,4.480000,0.000106,0.003275,0.093583,0.002113,6.282580
0.010000,1.700170,4.480000,0.000148,0.004211,0.093612,0.002958,6.282700
0.010000,1.700118,4.480000,0.000200,0.005147,0.093650,0.003803,6.282847
0.010000,1.700057,4.480000,0.000261,0.006084,0.093697,0.004649,6.283021
0.010000,1.700233,4.480000,0.000436,0.017568,1.148381,105.468478,0.000037
0.010000,1.701681,4.480000,0.001884,0.144755,12.718667,1157.028521,0.000264
0.010000,1.703298,4.480001,0.003502,0.161760,1.700529,-1101.813725,0.000518
0.010000,1.705086,4.480002,0.005289,0.178757,1.699708,-0.082117,0.000800
0.010000,1.707044,4.480004,0.007247,0.195825,1.706748,0.703957,0.001108
0.010000,1.709172,4.480007,0.009376,0.212819,1.699400,-0.734799,0.001443
0.010000,1.711471,4.480010,0.011674,0.229835,1.701658,0.225798,0.001805
0.010000,1.713939,4.480015,0.014143,0.246867,1.703210,0.155168,0.002194
0.010000,1.716578,4.480022,0.016781,0.263860,1.699288,-0.392149,0.002610
0.010000,1.719387,4.480030,0.019590,0.280896,1.703605,0.431725,0.003054
0.010000,1.722366,4.480039,0.022569,0.297892,1.699630,-0.397574,0.003525
0.010000,1.725515,4.480051,0.025718,0.314898,1.700598,0.096851,0.004023
0.010000,1.728834,4.480065,0.029037,0.331925,1.702673,0.207445,0.004548
0.010000,1.732323,4.480082,0.032526,0.348900,1.697487,-0.518599,0.005101
0.010000,1.735982,4.480102,0.036186,0.365918,1.701834,0.434731,0.005681
0.010000,1.739811,4.480125,0.040015,0.382928,1.700943,-0.089077,0.006289
0.010000,1.743810,4.480151,0.044014,0.399908,1.698000,-0.294262,0.006925
0.010000,1.747979,4.480182,0.048183,0.416890,1.698254,0.025378,0.007588
0.010000,1.752318,4.480216,0.052522,0.433887,1.699618,0.136383,0.008279
0.010000,1.756826,4.480255,0.057031,0.450892,1.700552,0.093434,0.008998
0.010000,1.761505,4.480299,0.061709,0.467869,1.697706,-0.284607,0.009745
0.010000,1.766353,4.480348,0.066558,0.484845,1.697604,-0.010185,0.010521
0.010000,1.771371,4.480403,0.071576,0.501819,1.697414,-0.019092,0.011324
0.010000,1.776559,4.480464,0.076764,0.518791,1.697134,-0.027981,0.012156
0.010000,1.781916,4.480531,0.082121,0.535758,1.696765,-0.036847,0.013016
0.010000,1.787442,4.480606,0.087649,0.552721,1.696308,-0.045689,0.013905
0.010000,1.793139,4.480687,0.093345,0.569679,1.695763,-0.054504,0.014822
0.010000,1.799004,4.480777,0.099212,0.586630,1.695130,-0.063289,0.015769
0.010000,1.805039,4.480875,0.105248,0.603581,1.695026,-0.010465,0.016744
0.010000,1.811244,4.480982,0.111453,0.620554,1.697322,0.229620,0.017748
0.010000,1.817618,4.481099,0.117828,0.637488,1.693451,-0.387095,0.018782
0.010000,1.824161,4.481225,0.124372,0.654413,1.692467,-0.098406,0.019845
0.010000,1.830873,4.481362,0.131085,0.671327,1.691397,-0.107005,0.020937
0.010000,1.837754,4.481510,0.137968,0.688299,1.697221,0.582439,0.022059
0.010000,1.844804,4.481669,0.145020,0.705200,1.690072,-0.714889,0.023211
0.010000,1.852023,4.481841,0.152241,0.722096,1.689618,-0.045438,0.024392
0.010000,1.859411,4.482026,0.159632,0.739049,1.695304,0.568627,0.025604
0.010000,1.866968,4.482224,0.167191,0.755911,1.686209,-0.909533,0.026846
0.010000,1.874693,4.482437,0.174919,0.772853,1.694152,0.794305,0.028118
0.010000,1.882587,4.482664,0.182816,0.789704,1.685143,-0.900885,0.029421
0.010000,1.890650,4.482906,0.190883,0.806637,1.693241,0.809791,0.030755
0.010000,1.898881,4.483165,0.199118,0.823478,1.684139,-0.910253,0.032120
0.010000,1.907280,4.483441,0.207521,0.840383,1.690525,0.638631,0.033515
0.010000,1.915847,4.483734,0.216094,0.857244,1.686109,-0.441609,0.034942
0.010000,1.924583,4.484046,0.224835,0.874084,1.684018,-0.209123,0.036401
0.010000,1.933486,4.484377,0.233744,0.890967,1.688243,0.422504,0.037891
0.010000,1.942557,4.484728,0.242823,0.907817,1.684980,-0.326216,0.039413
0.010000,1.951796,4.485099,0.252069,0.924647,1.683051,-0.192976,0.040967
0.010000,1.961203,4.485492,0.261484,0.941475,1.682803,-0.024818,0.042553
0.010000,1.970777,4.485908,0.271067,0.958300,1.682459,-0.034359,0.044172
0.010000,1.980518,4.486346,0.280818,0.975127,1.682750,0.029078,0.045824
0.010000,1.990427,4.486809,0.290738,0.991949,1.682156,-0.059404,0.047508
0.010000,2.000503,4.487297,0.300825,1.008750,1.680108,-0.204748,0.049226
0.010000,2.010745,4.487810,0.311080,1.025544,1.679396,-0.071215,0.050977
0.010000,2.021155,4.488351,0.321504,1.042330,1.678592,-0.080381,0.052761
0.010000,2.031730,4.488919,0.332095,1.059107,1.677698,-0.089457,0.054580
0.010000,2.042473,4.489516,0.342854,1.075895,1.678779,0.108086,0.056432
0.010000,2.053381,4.490142,0.353780,1.092661,1.676601,-0.217766,0.058319
0.010000,2.064456,4.490800,0.364875,1.109413,1.675192,-0.140886,0.060240
0.010000,2.075697,4.491489,0.376136,1.126152,1.673937,-0.125478,0.062196
0.010000,2.087102,4.492210,0.387565,1.142878,1.672597,-0.134025,0.064187
0.010000,2.098674,4.492966,0.399161,1.159625,1.674729,0.213218,0.066213
0.010000,2.110411,4.493756,0.410925,1.176352,1.672701,-0.202813,0.068275
0.010000,2.122313,4.494583,0.422855,1.193040,1.668751,-0.395020,0.070372
0.010000,2.134380,4.495446,0.434953,1.209760,1.672015,0.326457,0.072506
0.010000,2.146611,4.496348,0.447217,1.226450,1.669045,-0.297045,0.074676
0.010000,2.159006,4.497289,0.459648,1.243119,1.666861,-0.218431,0.076882
0.010000,2.171566,4.498271,0.472246,1.259814,1.669529,0.266848,0.079126
0.010000,2.184290,4.499294,0.485011,1.276457,1.664290,-0.523913,0.081406
0.010000,2.197177,4.500361,0.497942,1.293124,1.666730,0.243983,0.083724
0.010000,2.210227,4.501471,0.511040,1.309767,1.664242,-0.248803,0.086080
0.010000,2.223441,4.502627,0.524304,1.326374,1.660735,-0.350715,0.088474
0.010000,2.236817,4.503830,0.537734,1.343041,1.666653,0.591814,0.090906
0.010000,2.250356,4.505081,0.551330,1.359634,1.659367,-0.728552,0.093377
0.010000,2.264056,4.506382,0.565093,1.376224,1.658952,-0.041560,0.095886
0.010000,2.277919,4.507733,0.579021,1.392819,1.659489,0.053690,0.098435
0.010000,2.291943,4.509136,0.593115,1.409419,1.660023,0.053482,0.101023
0.010000,2.306128,4.510593,0.607375,1.425983,1.656367,-0.365619,0.103652
0.010000,2.320474,4.512105,0.621800,1.442538,1.655573,-0.079428,0.106320
0.010000,2.334981,4.513673,0.636391,1.459085,1.654686,-0.088686,0.109029
0.010000,2.349647,4.515298,0.651147,1.475622,1.653709,-0.097728,0.111778
0.010000,2.364473,4.516984,0.666069,1.492149,1.652643,-0.106543,0.114569
0.010000,2.379458,4.518729,0.681155,1.508664,1.651492,-0.115118,0.117401
0.010000,2.394602,4.520538,0.696407,1.525166,1.650258,-0.123439,0.120275
0.010000,2.409905,4.522410,0.711824,1.541656,1.648943,-0.131492,0.123190
0.010000,2.425365,4.524347,0.727405,1.558131,1.647550,-0.139266,0.126148
0.010000,2.440983,4.526352,0.743151,1.574612,1.648077,0.052632,0.129149
0.010000,2.456758,4.528425,0.759062,1.591080,1.646782,-0.129414,0.132193
0.010000,2.472690,4.530568,0.775137,1.607515,1.643537,-0.324577,0.135280
0.010000,2.488777,4.532784,0.791376,1.623934,1.641850,-0.168705,0.138411
0.010000,2.505021,4.535073,0.807780,1.640387,1.645366,0.351669,0.141586
0.010000,2.521419,4.537437,0.824348,1.656784,1.639701,-0.566557,0.144806
0.010000,2.537972,4.539878,0.841080,1.673177,1.639237,-0.046408,0.148070
0.010000,2.554679,4.542399,0.857976,1.689583,1.640647,0.141048,0.151379
0.010000,2.571539,4.544999,0.875035,1.705938,1.635507,-0.513974,0.154733
0.010000,2.588552,4.547683,0.892258,1.722324,1.638618,0.311063,0.158133
0.010000,2.605717,4.550450,0.909645,1.738665,1.634077,-0.454075,0.161579
0.010000,2.623033,4.553304,0.927195,1.755003,1.633776,-0.030091,0.165071
0.010000,2.640501,4.556245,0.944909,1.771351,1.634843,0.106693,0.168611
0.010000,2.658118,4.559277,0.962785,1.787654,1.630268,-0.457540,0.172197
0.010000,2.675885,4.562400,0.980825,1.803952,1.629750,-0.051789,0.175830
0.010000,2.693801,4.565617,0.999027,1.820275,1.632358,0.260838,0.179511
0.010000,2.711866,4.568930,1.017393,1.836552,1.627684,-0.467420,0.183240
0.010000,2.730077,4.572341,1.035921,1.852821,1.626908,-0.077573,0.187018
0.010000,2.748436,4.575851,1.054612,1.869082,1.626060,-0.084811,0.190844
0.010000,2.766940,4.579463,1.073465,1.885333,1.625145,-0.091564,0.194719
0.010000,2.785589,4.583179,1.092481,1.901575,1.624167,-0.097811,0.198643
0.010000,2.804382,4.587001,1.111659,1.917806,1.623131,-0.103530,0.202616
0.010000,2.823319,4.590931,1.130999,1.934027,1.622044,-0.108701,0.206640
0.010000,2.842398,4.594971,1.150502,1.950236,1.620911,-0.113303,0.210714
0.010000,2.861619,4.599124,1.170166,1.966433,1.619738,-0.117313,0.214838
0.010000,2.880981,4.603391,1.189992,1.982618,1.618531,-0.120711,0.219012
0.010000,2.900482,4.607775,1.209980,1.998796,1.617807,-0.072399,0.223238
0.010000,2.920122,4.612277,1.230130,2.014986,1.618982,0.117457,0.227515
0.010000,2.939900,4.616902,1.250441,2.031138,1.615190,-0.379196,0.231844
0.010000,2.959815,4.621649,1.270914,2.047277,1.613889,-0.130103,0.236224
0.010000,2.979866,4.626523,1.291549,2.063445,1.616811,0.292221,0.240656
0.010000,3.000051,4.631525,1.312344,2.079567,1.612235,-0.457606,0.245140
0.010000,3.020370,4.636657,1.333301,2.095699,1.613137,0.090245,0.249677
0.010000,3.040821,4.641922,1.354419,2.111821,1.612214,-0.092287,0.254267
0.010000,3.061404,4.647322,1.375699,2.127935,1.611435,-0.077963,0.258909
0.010000,3.082116,4.652860,1.397139,2.144037,1.610129,-0.130515,0.263604
0.010000,3.102958,4.658538,1.418741,2.160152,1.611553,0.142328,0.268353
0.010000,3.123928,4.664358,1.440503,2.176235,1.608242,-0.331053,0.273155
0.010000,3.145024,4.670324,1.462426,2.192328,1.609363,0.112045,0.278011
0.010000,3.166245,4.676437,1.484511,2.208425,1.609634,0.027099,0.282920
0.010000,3.187591,4.682700,1.506756,2.224501,1.607611,-0.202305,0.287883
0.010000,3.209058,4.689115,1.529161,2.240576,1.607554,-0.005686,0.292899
0.010000,3.230647,4.695685,1.551728,2.256651,1.607483,-0.007095,0.297970
0.010000,3.252356,4.702413,1.574455,2.272725,1.607406,-0.007664,0.303095
0.010000,3.274183,4.709301,1.597343,2.288798,1.607332,-0.007373,0.308273
0.010000,3.296126,4.716352,1.620392,2.304871,1.607270,-0.006206,0.313506
0.010000,3.318186,4.723568,1.643601,2.320943,1.607229,-0.004145,0.318793
0.010000,3.340359,4.730952,1.666971,2.337016,1.607217,-0.001174,0.324134
0.010000,3.362644,4.738506,1.690502,2.353088,1.607244,0.002720,0.329529
0.010000,3.385040,4.746234,1.714194,2.369161,1.607320,0.007550,0.334978
0.010000,3.407545,4.754137,1.738046,2.385236,1.607453,0.013325,0.340481
0.010000,3.430157,4.762219,1.762059,2.401312,1.607654,0.020056,0.346038
0.010000,3.452875,4.770482,1.786233,2.417404,1.609190,0.153640,0.351649
0.010000,3.475697,4.778929,1.810568,2.433496,1.609225,0.003490,0.357313
0.010000,3.498621,4.787562,1.835064,2.449585,1.608853,-0.037182,0.363030
0.010000,3.521646,4.796384,1.859721,2.465696,1.611141,0.228751,0.368801
0.010000,3.544769,4.805398,1.884539,2.481805,1.610903,-0.023745,0.374624
0.010000,3.567989,4.814607,1.909518,2.497926,1.612046,0.114270,0.380500
0.010000,3.591303,4.824013,1.934659,2.514058,1.613265,0.121951,0.386428
0.010000,3.614711,4.833619,1.959961,2.530201,1.614254,0.098820,0.392409
0.010000,3.638210,4.843427,1.985425,2.546351,1.615039,0.078490,0.398441
0.010000,3.661797,4.853441,2.011050,2.562527,1.617557,0.251848,0.404525
0.010000,3.685472,4.863663,2.036837,2.578704,1.617695,0.013782,0.410659
0.010000,3.709231,4.874096,2.062786,2.594899,1.619520,0.182478,0.416844
0.010000,3.733074,4.884742,2.088897,2.611120,1.622135,0.261532,0.423079
0.010000,3.756997,4.895604,2.115171,2.627350,1.622962,0.082690,0.429363
0.010000,3.780998,4.906686,2.141607,2.643600,1.624970,0.200820,0.435696
0.010000,3.805076,4.917988,2.168205,2.659870,1.627054,0.208427,0.442078
0.010000,3.829228,4.929515,2.194967,2.676163,1.629223,0.216886,0.448507
0.010000,3.853452,4.941269,2.221892,2.692477,1.631485,0.226178,0.454984
0.010000,3.877745,4.953252,2.248980,2.708816,1.633848,0.236283,0.461507
0.010000,3.902106,4.965467,2.276232,2.725179,1.636320,0.247173,0.468076
0.010000,3.926532,4.977917,2.303647,2.741568,1.638908,0.258823,0.474689
0.010000,3.950996,4.990591,2.331200,2.755224,1.365552,-27.335543,0.481341
0.010000,3.975447,5.003467,2.358833,2.763387,0.816315,-54.923764,0.488015
0.010000,3.999835,5.016518,2.386494,2.766059,0.267250,-54.906431,0.494699
0.010000,4.024134,5.029730,2.414153,2.765865,-0.019429,-28.667930,0.501384
0.010000,4.048317,5.043090,2.441781,2.762804,-0.306082,-28.665290,0.508063
0.010000,4.072335,5.056569,2.469323,2.754253,-0.855074,-54.899263,0.514720
0.010000,4.096144,5.070139,2.496727,2.740350,-1.390377,-53.530226,0.521343
0.010000,4.119719,5.083782,2.523965,2.723853,-1.649652,-25.927496,0.527924
0.010000,4.143062,5.097497,2.551039,2.707385,-1.646801,0.285093,0.534463
0.010000,4.166174,5.111279,2.577949,2.690945,-1.644061,0.273989,0.540957
0.010000,4.189056,5.125126,2.604694,2.674530,-1.641425,0.263580,0.547408
0.010000,4.211709,5.139033,2.631275,2.658139,-1.639092,0.233290,0.553813
0.010000,4.234133,5.152999,2.657693,2.641772,-1.636737,0.235470,0.560173
0.010000,4.256331,5.167019,2.683947,2.625429,-1.634302,0.243535,0.566487
0.010000,4.278302,5.181090,2.710038,2.609109,-1.632045,0.225674,0.572753
0.010000,4.300049,5.195209,2.735966,2.592810,-1.629854,0.219153,0.578973
0.010000,4.321571,5.209374,2.761732,2.576523,-1.628745,0.110903,0.585144
0.010000,4.342871,5.223580,2.787334,2.560259,-1.626328,0.241653,0.591266
0.010000,4.363949,5.237825,2.812774,2.544019,-1.624009,0.231902,0.597340
0.010000,4.384807,5.252105,2.838052,2.527777,-1.624176,-0.016721,0.603364
0.010000,4.405445,5.266418,2.863168,2.511570,-1.620694,0.348205,0.609338
0.010000,4.425865,5.280760,2.888122,2.495361,-1.620942,-0.024753,0.615261
0.010000,4.446069,5.295128,2.912913,2.479181,-1.618025,0.291747,0.621134
0.010000,4.466057,5.309520,2.937543,2.462992,-1.618891,-0.086688,0.626956
0.010000,4.485830,5.323932,2.962012,2.446835,-1.615702,0.318973,0.632727
0.010000,4.505390,5.338362,2.986318,2.430674,-1.616060,-0.035823,0.638446
0.010000,4.524738,5.352806,3.010464,2.414522,-1.615187,0.087283,0.644113
0.010000,4.543876,5.367262,3.034447,2.398388,-1.613478,0.170878,0.649728
0.010000,4.562805,5.381727,3.058270,2.382258,-1.612950,0.052860,0.655290
0.010000,4.581525,5.396197,3.081931,2.366128,-1.613048,-0.009797,0.660800
0.010000,4.600039,5.410671,3.105431,2.350001,-1.612631,0.041690,0.666258
0.010000,4.618348,5.425145,3.128770,2.333886,-1.611526,0.110517,0.671663
0.010000,4.636452,5.439617,3.151948,2.317774,-1.611233,0.029302,0.677014
0.010000,4.654354,5.454084,3.174965,2.301664,-1.610983,0.024935,0.682313
0.010000,4.672055,5.468543,3.197820,2.285556,-1.610768,0.021496,0.687559
0.010000,4.689556,5.482991,3.220515,2.269450,-1.610579,0.018973,0.692752
0.010000,4.706858,5.497427,3.243048,2.253346,-1.610405,0.017355,0.697892
0.010000,4.723963,5.511847,3.265420,2.237234,-1.611194,-0.078901,0.702978
0.010000,4.740872,5.526249,3.287632,2.221122,-1.611280,-0.008576,0.708012
0.010000,4.757587,5.540631,3.309682,2.205017,-1.610438,0.084182,0.712993
0.010000,4.774109,5.554989,3.331571,2.188915,-1.610272,0.016548,0.717920
0.010000,4.790439,5.569322,3.353299,2.172796,-1.611859,-0.158654,0.722795
0.010000,4.806578,5.583627,3.374866,2.156673,-1.612329,-0.047012,0.727617
0.010000,4.822529,5.597902,3.396271,2.140570,-1.610247,0.208167,0.732387
0.010000,4.838293,5.612144,3.417516,2.124424,-1.614578,-0.433043,0.737103
0.010000,4.853870,5.626351,3.438599,2.108314,-1.611051,0.352654,0.741768
0.010000,4.869262,5.640521,3.459520,2.092164,-1.615042,-0.399057,0.746380
0.010000,4.884471,5.654652,3.480281,2.076046,-1.611711,0.333105,0.750940
