dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700000,4.130000,0.000030,0.005988,0.598802,59.880240,6.282362
0.010000,1.700000,4.130000,0.000150,0.017964,1.197605,59.880240,6.282380
0.010000,1.700000,4.130000,0.000419,0.035928,1.796407,59.880240,6.282420
0.010000,1.700000,4.130000,0.000868,0.053892,1.796407,-0.000000,6.282487
0.010000,1.700000,4.130000,0.001497,0.071856,1.796407,0.000000,6.282580
0.010000,1.700000,4.130000,0.002305,0.089820,1.796407,0.000000,6.282700
0.010000,1.700000,4.130000,0.003293,0.107784,1.796407,-0.000000,6.282847
0.010000,1.700000,4.130000,0.004461,0.125749,1.796407,0.000000,6.283021
0.010000,1.700246,4.130000,0.005808,0.143713,1.796407,0.000000,0.000037
0.010000,1.701773,4.130000,0.007335,0.161677,1.796407,0.000000,0.000264
0.010000,1.703480,4.130001,0.009042,0.179641,1.796407,0.000000,0.000518
0.010000,1.705366,4.130002,0.010928,0.197605,1.796407,0.000000,0.000800
0.010000,1.707432,4.130004,0.012994,0.215569,1.796407,-0.000000,0.001108
0.010000,1.709677,4.130007,0.015240,0.233533,1.796407,0.000000,0.001443
0.010000,1.712102,4.130011,0.017665,0.251497,1.796407,-0.000000,0.001805
0.010000,1.714707,4.130016,0.020269,0.269461,1.796407,0.000000,0.002194
0.010000,1.717491,4.130023,0.023054,0.287425,1.796407,-0.000000,0.002610
0.010000,1.720456,4.130031,0.026018,0.305389,1.796407,0.000000,0.003054
0.010000,1.723599,4.130042,0.029162,0.323353,1.796407,-0.000000,0.003525
0.010000,1.726923,4.130054,0.032485,0.341317,1.796407,0.000000,0.004023
0.010000,1.730426,4.130069,0.035988,0.359281,1.796407,-0.000000,0.004548
0.010000,1.734108,4.130087,0.039671,0.377246,1.796407,0.000000,0.005101
0.010000,1.737970,4.130108,0.043533,0.395210,1.796407,0.000000,0.005681
0.010000,1.742012,4.130132,0.047575,0.413174,1.796407,0.000000,0.006289
0.010000,1.746234,4.130160,0.051796,0.431138,1.796407,-0.000000,0.006925
0.010000,1.750635,4.130192,0.056198,0.449102,1.796407,0.000000,0.007588
0.010000,1.755215,4.130228,0.060778,0.467066,1.796407,0.000000,0.008279
0.010000,1.759976,4.130269,0.065539,0.485030,1.796407,-0.000000,0.008998
0.010000,1.764916,4.130315,0.070479,0.502994,1.796407,0.000000,0.009745
0.010000,1.770035,4.130367,0.075599,0.520958,1.796407,0.000000,0.010521
0.010000,1.775334,4.130425,0.080898,0.538922,1.796407,0.000000,0.011324
0.010000,1.780813,4.130490,0.086377,0.556886,1.796407,-0.000000,0.012156
0.010000,1.786471,4.130561,0.092036,0.574850,1.796407,0.000000,0.013016
0.010000,1.792309,4.130639,0.097874,0.592814,1.796407,0.000000,0.013905
0.010000,1.798326,4.130726,0.103892,0.610778,1.796407,0.000000,0.014822
0.010000,1.804523,4.130821,0.110090,0.628743,1.796407,-0.000000,0.015769
0.010000,1.810899,4.130924,0.116467,0.646707,1.796407,0.000000,0.016744
0.010000,1.817455,4.131037,0.123024,0.664671,1.796407,0.000000,0.017748
0.010000,1.824191,4.131160,0.129760,0.682635,1.796407,0.000000,0.018782
0.010000,1.831106,4.131294,0.136677,0.700599,1.796407,-0.000000,0.019845
0.010000,1.838200,4.131439,0.143772,0.718563,1.796407,0.000000,0.020937
0.010000,1.845474,4.131595,0.151048,0.736527,1.796407,0.000000,0.022059
0.010000,1.852927,4.131764,0.158503,0.754491,1.796407,-0.000000,0.023211
0.010000,1.860559,4.131945,0.166138,0.772455,1.796407,0.000000,0.024392
0.010000,1.868372,4.132141,0.173952,0.790419,1.796407,0.000000,0.025604
0.010000,1.876363,4.132350,0.181946,0.808383,1.796407,0.000000,0.026846
0.010000,1.884533,4.132575,0.190120,0.826347,1.796407,0.000000,0.028118
0.010000,1.892883,4.132815,0.198473,0.844311,1.796407,-0.000000,0.029421
0.010000,1.901412,4.133072,0.207006,0.862275,1.796407,0.000000,0.030755
0.010000,1.910120,4.133346,0.215719,0.880240,1.796407,0.000000,0.032120
0.010000,1.919008,4.133638,0.224611,0.898204,1.796407,-0.000000,0.033515
0.010000,1.928075,4.133948,0.233683,0.916168,1.796407,0.000000,0.034942
0.010000,1.937320,4.134278,0.242934,0.934132,1.796407,0.000000,0.036401
0.010000,1.946745,4.134628,0.252365,0.952096,1.796407,0.000000,0.037891
0.010000,1.956348,4.135000,0.261976,0.970060,1.796407,-0.000000,0.039413
0.010000,1.966131,4.135393,0.271766,0.988024,1.796407,0.000000,0.040967
0.010000,1.976092,4.135809,0.281737,1.005988,1.796407,0.000000,0.042553
0.010000,1.986232,4.136249,0.291886,1.023952,1.796407,0.000000,0.044172
0.010000,1.996551,4.136714,0.302216,1.041916,1.796407,0.000000,0.045824
0.010000,2.007049,4.137204,0.312725,1.059880,1.796407,0.000000,0.047508
0.010000,2.017725,4.137721,0.323413,1.077844,1.796407,0.000000,0.049226
0.010000,2.028579,4.138265,0.334281,1.095808,1.796407,0.000000,0.050977
0.010000,2.039612,4.138838,0.345329,1.113772,1.796407,-0.000000,0.052761
0.010000,2.050824,4.139440,0.356557,1.131737,1.796407,0.000000,0.054580
0.010000,2.062213,4.140073,0.367964,1.149701,1.796407,0.000000,0.056432
0.010000,2.073781,4.140737,0.379551,1.167665,1.796407,0.000000,0.058319
0.010000,2.085527,4.141435,0.391317,1.185629,1.796407,0.000000,0.060240
0.010000,2.097451,4.142165,0.403263,1.203593,1.796407,0.000000,0.062196
0.010000,2.109552,4.142931,0.415389,1.221557,1.796407,0.000000,0.064187
0.010000,2.121832,4.143733,0.427695,1.239521,1.796407,-0.000000,0.066213
0.010000,2.134289,4.144572,0.440180,1.257485,1.796407,0.000000,0.068275
0.010000,2.146923,4.145449,0.452844,1.275449,1.796407,0.000000,0.070372
0.010000,2.159734,4.146366,0.465689,1.293413,1.796407,0.000000,0.072506
0.010000,2.172723,4.147323,0.478713,1.311377,1.796407,0.000000,0.074676
0.010000,2.185889,4.148323,0.491916,1.329341,1.796407,0.000000,0.076882
0.010000,2.199231,4.149366,0.505299,1.347305,1.796407,0.000000,0.079126
0.010000,2.212750,4.150453,0.518862,1.365269,1.796407,0.000000,0.081406
0.010000,2.226446,4.151587,0.532605,1.383234,1.796407,-0.000000,0.083724
0.010000,2.240318,4.152767,0.546527,1.401198,1.796407,0.000000,0.086080
0.010000,2.254366,4.153996,0.560629,1.419162,1.796407,0.000000,0.088474
0.010000,2.268590,4.155276,0.574910,1.437126,1.796407,0.000000,0.090906
0.010000,2.282990,4.156606,0.589371,1.455090,1.796407,0.000000,0.093377
0.010000,2.297565,4.157990,0.604012,1.473054,1.796407,0.000000,0.095886
0.010000,2.312316,4.159427,0.618832,1.491018,1.796407,0.000000,0.098435
0.010000,2.327241,4.160921,0.633832,1.508982,1.796407,-0.000000,0.101023
0.010000,2.342341,4.162471,0.649012,1.526946,1.796407,0.000000,0.103652
0.010000,2.357616,4.164081,0.664371,1.544910,1.796407,-0.000000,0.106320
0.010000,2.373065,4.165751,0.679910,1.562874,1.796407,0.000000,0.109029
0.010000,2.388688,4.167483,0.695629,1.580838,1.796407,0.000000,0.111778
0.010000,2.404484,4.169278,0.711527,1.598802,1.796407,-0.000000,0.114569
0.010000,2.420454,4.171139,0.727605,1.616766,1.796407,0.000000,0.117401
0.010000,2.436597,4.173066,0.743862,1.634731,1.796407,-0.000000,0.120275
0.010000,2.452912,4.175062,0.760299,1.652695,1.796407,0.000000,0.123190
0.010000,2.469400,4.177128,0.776916,1.670659,1.796407,-0.000000,0.126148
0.010000,2.486060,4.179267,0.793713,1.688623,1.796407,0.000000,0.129149
0.010000,2.502891,4.181478,0.810689,1.706587,1.796407,0.000000,0.132193
0.010000,2.519894,4.183766,0.827844,1.724551,1.796407,-0.000000,0.135280
0.010000,2.537067,4.186131,0.845180,1.742515,1.796407,0.000000,0.138411
0.010000,2.554411,4.188575,0.862695,1.760479,1.796407,0.000000,0.141586
0.010000,2.571924,4.191100,0.880389,1.778443,1.796407,-0.000000,0.144806
0.010000,2.589607,4.193708,0.898263,1.796407,1.796407,0.000000,0.148070
0.010000,2.607459,4.196401,0.916317,1.814371,1.796407,0.000000,0.151379
0.010000,2.625479,4.199181,0.934551,1.832335,1.796407,0.000000,0.154733
0.010000,2.643668,4.202050,0.952964,1.850299,1.796407,-0.000000,0.158133
0.010000,2.662023,4.205009,0.971557,1.868263,1.796407,0.000000,0.161579
0.010000,2.680546,4.208061,0.990329,1.886228,1.796407,0.000000,0.165071
