dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700140,4.480000,0.000030,0.005975,0.597513,59.751252,6.282786
0.010000,1.700133,4.480000,0.000036,0.000612,-0.536315,-113.382722,6.282804
0.010000,1.700120,4.480000,0.000050,0.001377,0.076501,61.281596,6.282843
0.010000,1.700097,4.480000,0.000073,0.002295,0.091812,1.531037,6.282909
0.010000,1.700065,4.480000,0.000105,0.003213,0.091830,0.001836,6.283001
0.010000,1.700023,4.480000,0.000146,0.004132,0.091856,0.002570,6.283119
0.010000,1.700504,4.480000,0.000627,0.048044,4.391236,429.938076,0.000078
0.010000,1.701609,4.480000,0.001732,0.110546,6.250122,185.888583,0.000248
0.010000,1.702885,4.480001,0.003008,0.127548,1.700258,-454.986410,0.000445
0.010000,1.704330,4.480001,0.004453,0.144556,1.700793,0.053501,0.000668
0.010000,1.705946,4.480003,0.006069,0.161558,1.700194,-0.059933,0.000918
0.010000,1.707731,4.480005,0.007854,0.178559,1.700141,-0.005306,0.001194
0.010000,1.709687,4.480007,0.009810,0.195565,1.700595,0.045469,0.001496
0.010000,1.711813,4.480011,0.011936,0.212565,1.699952,-0.064327,0.001825
0.010000,1.714108,4.480015,0.014231,0.229564,1.699928,-0.002457,0.002180
0.010000,1.716574,4.480021,0.016697,0.246563,1.699863,-0.006428,0.002561
0.010000,1.719210,4.480029,0.019332,0.263560,1.699760,-0.010379,0.002969
0.010000,1.722015,4.480037,0.022138,0.280557,1.699616,-0.014309,0.003404
0.010000,1.724991,4.480048,0.025114,0.297551,1.699434,-0.018215,0.003865
0.010000,1.728136,4.480061,0.028259,0.314543,1.699213,-0.022096,0.004353
0.010000,1.731451,4.480076,0.031574,0.331534,1.699047,-0.016638,0.004868
0.010000,1.734937,4.480094,0.035060,0.348527,1.699352,0.030538,0.005409
0.010000,1.738592,4.480115,0.038715,0.365512,1.698471,-0.088106,0.005977
0.010000,1.742417,4.480139,0.042540,0.382498,1.698662,0.019078,0.006572
0.010000,1.746411,4.480167,0.046534,0.399482,1.698363,-0.029905,0.007194
0.010000,1.750576,4.480198,0.050699,0.416464,1.698246,-0.011699,0.007843
0.010000,1.754910,4.480233,0.055034,0.433441,1.697652,-0.059442,0.008518
0.010000,1.759414,4.480273,0.059538,0.450422,1.698142,0.049061,0.009221
0.010000,1.764088,4.480318,0.064212,0.467396,1.697387,-0.075486,0.009951
0.010000,1.768931,4.480368,0.069055,0.484368,1.697168,-0.021969,0.010709
0.010000,1.773944,4.480424,0.074069,0.501338,1.696980,-0.018766,0.011493
0.010000,1.779127,4.480486,0.079252,0.518305,1.696754,-0.022646,0.012305
0.010000,1.784479,4.480554,0.084605,0.535270,1.696489,-0.026480,0.013145
0.010000,1.790001,4.480629,0.090127,0.552232,1.696186,-0.030265,0.014012
0.010000,1.795692,4.480711,0.095819,0.569190,1.695846,-0.033999,0.014906
0.010000,1.801553,4.480801,0.101680,0.586145,1.695469,-0.037678,0.015828
0.010000,1.807583,4.480899,0.107711,0.603101,1.695628,0.015870,0.016778
0.010000,1.813783,4.481006,0.113912,0.620050,1.694893,-0.073540,0.017756
0.010000,1.820152,4.481123,0.120282,0.636995,1.694459,-0.043351,0.018762
0.010000,1.826690,4.481249,0.126821,0.653942,1.694693,0.023406,0.019796
0.010000,1.833397,4.481385,0.133530,0.670879,1.693734,-0.095887,0.020858
0.010000,1.840274,4.481532,0.140408,0.687817,1.693757,0.002297,0.021948
0.010000,1.847320,4.481691,0.147456,0.704751,1.693444,-0.031340,0.023067
0.010000,1.854535,4.481862,0.154672,0.721679,1.692807,-0.063667,0.024214
0.010000,1.861918,4.482045,0.162058,0.738605,1.692537,-0.026990,0.025390
0.010000,1.869471,4.482241,0.169614,0.755527,1.692230,-0.030770,0.026594
0.010000,1.877193,4.482451,0.177338,0.772446,1.691885,-0.034474,0.027827
0.010000,1.885083,4.482676,0.185232,0.789361,1.691504,-0.038100,0.029089
0.010000,1.893142,4.482916,0.193294,0.806272,1.691087,-0.041644,0.030380
0.010000,1.901370,4.483171,0.201526,0.823178,1.690636,-0.045102,0.031700
0.010000,1.909766,4.483443,0.209927,0.840080,1.690152,-0.048473,0.033050
0.010000,1.918331,4.483732,0.218497,0.856976,1.689634,-0.051752,0.034428
0.010000,1.927065,4.484039,0.227236,0.873873,1.689727,0.009328,0.035836
0.010000,1.935966,4.484365,0.236143,0.890761,1.688763,-0.096422,0.037274
0.010000,1.945036,4.484709,0.245220,0.907646,1.688551,-0.021272,0.038742
0.010000,1.954274,4.485074,0.254465,0.924526,1.688004,-0.054627,0.040239
0.010000,1.963680,4.485460,0.263879,0.941404,1.687785,-0.021937,0.041766
0.010000,1.973254,4.485868,0.273462,0.958274,1.686946,-0.083931,0.043324
0.010000,1.982996,4.486298,0.283213,0.975141,1.686680,-0.026603,0.044911
0.010000,1.992906,4.486751,0.293133,0.992005,1.686451,-0.022847,0.046529
0.010000,2.002983,4.487229,0.303222,1.008862,1.685671,-0.078030,0.048178
0.010000,2.013228,4.487731,0.313479,1.025714,1.685226,-0.044520,0.049857
0.010000,2.023640,4.488260,0.323904,1.042561,1.684748,-0.047742,0.051567
0.010000,2.034220,4.488815,0.334499,1.059404,1.684240,-0.050839,0.053308
0.010000,2.044966,4.489398,0.345261,1.076241,1.683724,-0.051551,0.055080
0.010000,2.055880,4.490010,0.356192,1.093077,1.683563,-0.016155,0.056883
0.010000,2.066961,4.490651,0.367291,1.109903,1.682657,-0.090603,0.058718
0.010000,2.078208,4.491323,0.378558,1.126724,1.682034,-0.062231,0.060584
0.010000,2.089622,4.492026,0.389993,1.143545,1.682083,0.004895,0.062481
0.010000,2.101202,4.492762,0.401597,1.160354,1.680927,-0.115627,0.064411
0.010000,2.112948,4.493531,0.413369,1.177163,1.680969,0.004244,0.066372
0.010000,2.124861,4.494334,0.425308,1.193963,1.679909,-0.106067,0.068366
0.010000,2.136939,4.495174,0.437416,1.210760,1.679787,-0.012208,0.070392
0.010000,2.149184,4.496050,0.449691,1.227552,1.679169,-0.061782,0.072450
0.010000,2.161593,4.496963,0.462135,1.244337,1.678496,-0.067264,0.074541
0.010000,2.174168,4.497916,0.474746,1.261117,1.678011,-0.048512,0.076664
0.010000,2.186909,4.498908,0.487525,1.277892,1.677499,-0.051199,0.078821
0.010000,2.199814,4.499942,0.500471,1.294662,1.676962,-0.053709,0.081010
0.010000,2.212884,4.501018,0.513586,1.311426,1.676402,-0.056037,0.083233
0.010000,2.226119,4.502137,0.526868,1.328184,1.675820,-0.058176,0.085489
0.010000,2.239518,4.503301,0.540317,1.344936,1.675219,-0.060121,0.087778
0.010000,2.253081,4.504510,0.553934,1.361687,1.675058,-0.016084,0.090101
0.010000,2.266808,4.505767,0.567718,1.378428,1.674081,-0.097659,0.092458
0.010000,2.280698,4.507071,0.581670,1.395164,1.673621,-0.046025,0.094849
0.010000,2.294752,4.508425,0.595789,1.411896,1.673267,-0.035379,0.097274
0.010000,2.308969,4.509830,0.610075,1.428622,1.672518,-0.074907,0.099733
0.010000,2.323349,4.511287,0.624528,1.445341,1.671980,-0.053773,0.102226
0.010000,2.337891,4.512798,0.639149,1.462059,1.671726,-0.025491,0.104755
0.010000,2.352596,4.514363,0.653937,1.478768,1.670892,-0.083333,0.107318
0.010000,2.367462,4.515984,0.668891,1.495472,1.670420,-0.047194,0.109915
0.010000,2.382491,4.517663,0.684013,1.512171,1.669930,-0.049027,0.112548
0.010000,2.397680,4.519400,0.699302,1.528865,1.669424,-0.050620,0.115216
0.010000,2.413031,4.521197,0.714757,1.545554,1.668904,-0.051965,0.117920
0.010000,2.428542,4.523057,0.730380,1.562238,1.668374,-0.053057,0.120658
0.010000,2.444214,4.524979,0.746169,1.578917,1.667835,-0.053886,0.123433
0.010000,2.460046,4.526965,0.762125,1.595589,1.667290,-0.054446,0.126243
0.010000,2.476037,4.529018,0.778247,1.612260,1.667065,-0.022574,0.129089
0.010000,2.492188,4.531138,0.794536,1.628923,1.666302,-0.076301,0.131971
0.010000,2.508497,4.533328,0.810992,1.645582,1.665887,-0.041482,0.134890
0.010000,2.524965,4.535587,0.827615,1.662237,1.665503,-0.038387,0.137844
0.010000,2.541591,4.537919,0.844403,1.678887,1.664984,-0.051931,0.140835
0.010000,2.558375,4.540325,0.861359,1.695531,1.664440,-0.054328,0.143863
0.010000,2.575316,4.542805,0.878481,1.712174,1.664269,-0.017157,0.146927
0.010000,2.592414,4.545363,0.895769,1.728810,1.663653,-0.061574,0.150028
0.010000,2.609669,4.547999,0.913223,1.745443,1.663251,-0.040147,0.153167
0.010000,2.627079,4.550715,0.930844,1.762072,1.662876,-0.037558,0.156342
0.010000,2.644644,4.553512,0.948631,1.778697,1.662501,-0.037500,0.159554
0.010000,2.662365,4.556393,0.966584,1.795318,1.662130,-0.037115,0.162803
0.010000,2.680240,4.559360,0.984703,1.811936,1.661766,-0.036396,0.166090
0.010000,2.698268,4.562413,1.002989,1.828550,1.661412,-0.035334,0.169415
0.010000,2.716451,4.565554,1.021440,1.845162,1.661222,-0.019002,0.172777
0.010000,2.734786,4.568786,1.040058,1.861770,1.660799,-0.042324,0.176176
0.010000,2.753273,4.572110,1.058842,1.878375,1.660483,-0.031599,0.179613
0.010000,2.771912,4.575528,1.077792,1.894979,1.660395,-0.008785,0.183088
0.010000,2.790702,4.579041,1.096907,1.911578,1.659965,-0.043014,0.186601
0.010000,2.809643,4.582652,1.116189,1.928177,1.659890,-0.007503,0.190152
0.010000,2.828733,4.586362,1.135637,1.944774,1.659633,-0.025749,0.193741
0.010000,2.847973,4.590173,1.155251,1.961368,1.659449,-0.018361,0.197368
0.010000,2.867362,4.594087,1.175030,1.977961,1.659326,-0.012347,0.201032
0.010000,2.886898,4.598106,1.194976,1.994554,1.659225,-0.010041,0.204735
0.010000,2.906582,4.602232,1.215087,2.011145,1.659121,-0.010389,0.208476
0.010000,2.926412,4.606466,1.235365,2.027735,1.659046,-0.007515,0.212255
0.010000,2.946388,4.610811,1.255808,2.044326,1.659021,-0.002476,0.216073
0.010000,2.966510,4.615268,1.276417,2.060916,1.659008,-0.001308,0.219928
0.010000,2.986776,4.619840,1.297192,2.077506,1.659028,0.001947,0.223822
0.010000,3.007185,4.624528,1.318133,2.094097,1.659089,0.006146,0.227754
0.010000,3.027737,4.629335,1.339240,2.110689,1.659178,0.008843,0.231723
0.010000,3.048432,4.634261,1.360513,2.127282,1.659293,0.011555,0.235731
0.010000,3.069268,4.639311,1.381951,2.143876,1.659471,0.017793,0.239777
0.010000,3.090244,4.644484,1.403556,2.160473,1.659628,0.015679,0.243861
0.010000,3.111359,4.649784,1.425327,2.177071,1.659884,0.025592,0.247983
0.010000,3.132614,4.655213,1.447264,2.193673,1.660176,0.029177,0.252143
0.010000,3.154006,4.660772,1.469366,2.210277,1.660401,0.022535,0.256340
0.010000,3.175535,4.666464,1.491635,2.226885,1.660794,0.039334,0.260575
0.010000,3.197200,4.672290,1.514070,2.243497,1.661187,0.039317,0.264848
0.010000,3.219001,4.678253,1.536671,2.260113,1.661608,0.042037,0.269158
0.010000,3.240935,4.684355,1.559439,2.276734,1.662074,0.046631,0.273505
0.010000,3.263003,4.690598,1.582372,2.293360,1.662591,0.051646,0.277889
0.010000,3.285202,4.696984,1.605472,2.309991,1.663161,0.057081,0.282310
0.010000,3.307533,4.703515,1.628739,2.326629,1.663767,0.060555,0.286769
0.010000,3.329994,4.710194,1.652171,2.343272,1.664269,0.050182,0.291263
0.010000,3.352584,4.717022,1.675770,2.359923,1.665155,0.088588,0.295794
0.010000,3.375302,4.724001,1.699536,2.376582,1.665891,0.073672,0.300362
0.010000,3.398146,4.731135,1.723469,2.393247,1.666473,0.058181,0.304965
0.010000,3.421117,4.738424,1.747568,2.409923,1.667608,0.113505,0.309604
0.010000,3.444212,4.745872,1.771834,2.426605,1.668212,0.060371,0.314279
0.010000,3.467430,4.753479,1.796267,2.443298,1.669318,0.110600,0.318988
0.010000,3.490771,4.761249,1.820867,2.460002,1.670375,0.105656,0.323733
0.010000,3.514232,4.769184,1.845634,2.476714,1.671242,0.086754,0.328512
0.010000,3.537814,4.777286,1.870569,2.493438,1.672334,0.109186,0.333326
0.010000,3.561514,4.785556,1.895670,2.510174,1.673591,0.125668,0.338174
0.010000,3.585332,4.793998,1.920939,2.526921,1.674772,0.118157,0.343055
0.010000,3.609265,4.802612,1.946376,2.543682,1.676020,0.124822,0.347970
0.010000,3.633313,4.811403,1.971981,2.560455,1.677339,0.131835,0.352917
0.010000,3.657475,4.820371,1.997753,2.577242,1.678731,0.139190,0.357897
0.010000,3.681749,4.829519,2.023694,2.594042,1.679951,0.122073,0.362909
0.010000,3.706134,4.838849,2.049802,2.610857,1.681495,0.154353,0.367953
0.010000,3.730628,4.848363,2.076079,2.627689,1.683235,0.174048,0.373028
0.010000,3.755230,4.858063,2.102525,2.644536,1.684679,0.144321,0.378134
0.010000,3.779938,4.867953,2.129138,2.661397,1.686097,0.141873,0.383271
0.010000,3.804752,4.878032,2.155921,2.678279,1.688268,0.217067,0.388437
0.010000,3.829669,4.888305,2.182873,2.695173,1.689394,0.112615,0.393632
0.010000,3.854689,4.898772,2.209994,2.712090,1.691702,0.230739,0.398857
0.010000,3.879809,4.909437,2.237284,2.729025,1.693482,0.178069,0.404109
0.010000,3.905028,4.920301,2.264744,2.745974,1.694912,0.143019,0.409390
0.010000,3.930345,4.931366,2.292373,2.762948,1.697370,0.245769,0.414698
0.010000,3.955733,4.942623,2.320145,2.777142,1.419344,-27.802640,0.420027
0.010000,3.981138,4.954051,2.348002,2.785755,0.861331,-55.801231,0.425366
0.010000,4.006493,4.965619,2.375871,2.786859,0.110423,-75.090800,0.430700
0.010000,4.031727,4.977294,2.403675,2.780449,-0.640969,-75.139210,0.436014
0.010000,4.056791,4.989053,2.431360,2.768457,-1.199243,-55.827428,0.441298
0.010000,4.081650,5.000875,2.458888,2.752804,-1.565264,-36.602099,0.446543
0.010000,4.106299,5.012756,2.486251,2.736285,-1.651966,-8.670156,0.451748
0.010000,4.130738,5.024692,2.513449,2.719777,-1.650795,0.117073,0.456913
0.010000,4.154967,5.036681,2.540481,2.703278,-1.649854,0.094077,0.462036
0.010000,4.179164,5.048735,2.567515,2.703367,0.008877,165.873081,0.460189
0.010000,4.206351,5.062121,2.597819,3.030377,32.700969,3269.209214,0.454943
0.010000,4.233264,5.075207,2.627744,2.992557,-3.781978,-3648.294690,0.450265
0.010000,4.259900,5.088013,2.657298,2.955392,-3.716505,6.547327,0.446137
0.010000,4.286254,5.100559,2.686487,2.918827,-3.656487,6.001790,0.442541
0.010000,4.312325,5.112863,2.715315,2.882834,-3.599302,5.718428,0.439462
0.010000,4.338109,5.124943,2.743789,2.847365,-3.546914,5.238855,0.436884
0.010000,4.363604,5.136815,2.771912,2.812382,-3.498251,4.866334,0.434794
