dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700000,4.130000,0.000030,0.005988,0.598802,59.880240,6.283067
0.010000,1.700000,4.130000,0.000150,0.017964,1.197605,59.880240,6.283073
0.010000,1.700000,4.130000,0.000419,0.035928,1.796407,59.880240,6.283087
0.010000,1.700000,4.130000,0.000868,0.053892,1.796407,-0.000000,6.283109
0.010000,1.700000,4.130000,0.001497,0.071856,1.796407,0.000000,6.283140
0.010000,1.700000,4.130000,0.002305,0.089820,1.796407,0.000000,6.283180
0.010000,1.700871,4.130000,0.003293,0.107784,1.796407,-0.000000,0.000043
0.010000,1.702039,4.130000,0.004461,0.125749,1.796407,0.000000,0.000101
0.010000,1.703386,4.130000,0.005808,0.143713,1.796407,0.000000,0.000168
0.010000,1.704913,4.130001,0.007335,0.161677,1.796407,0.000000,0.000244
0.010000,1.706619,4.130001,0.009042,0.179641,1.796407,0.000000,0.000330
0.010000,1.708506,4.130002,0.010928,0.197605,1.796407,0.000000,0.000425
0.010000,1.710571,4.130003,0.012994,0.215569,1.796407,-0.000000,0.000530
0.010000,1.712817,4.130004,0.015240,0.233533,1.796407,0.000000,0.000644
0.010000,1.715242,4.130006,0.017665,0.251497,1.796407,-0.000000,0.000769
0.010000,1.717847,4.130008,0.020269,0.269461,1.796407,0.000000,0.000903
0.010000,1.720631,4.130011,0.023054,0.287425,1.796407,-0.000000,0.001048
0.010000,1.723595,4.130014,0.026018,0.305389,1.796407,0.000000,0.001203
0.010000,1.726739,4.130018,0.029162,0.323353,1.796407,-0.000000,0.001369
0.010000,1.730062,4.130023,0.032485,0.341317,1.796407,0.000000,0.001545
0.010000,1.733565,4.130029,0.035988,0.359281,1.796407,-0.000000,0.001733
0.010000,1.737248,4.130035,0.039671,0.377246,1.796407,0.000000,0.001932
0.010000,1.741110,4.130043,0.043533,0.395210,1.796407,0.000000,0.002143
0.010000,1.745152,4.130052,0.047575,0.413174,1.796407,0.000000,0.002366
0.010000,1.749374,4.130063,0.051796,0.431138,1.796407,-0.000000,0.002601
0.010000,1.753775,4.130075,0.056198,0.449102,1.796407,0.000000,0.002849
0.010000,1.758356,4.130089,0.060778,0.467066,1.796407,0.000000,0.003109
0.010000,1.763116,4.130104,0.065539,0.485030,1.796407,-0.000000,0.003383
0.010000,1.768056,4.130121,0.070479,0.502994,1.796407,0.000000,0.003670
0.010000,1.773176,4.130141,0.075599,0.520958,1.796407,0.000000,0.003971
0.010000,1.778475,4.130163,0.080898,0.538922,1.796407,0.000000,0.004286
0.010000,1.783954,4.130187,0.086377,0.556886,1.796407,-0.000000,0.004616
0.010000,1.789613,4.130214,0.092036,0.574850,1.796407,0.000000,0.004961
0.010000,1.795451,4.130244,0.097874,0.592814,1.796407,0.000000,0.005321
0.010000,1.801469,4.130277,0.103892,0.610778,1.796407,0.000000,0.005697
0.010000,1.807667,4.130314,0.110090,0.628743,1.796407,-0.000000,0.006089
0.010000,1.814044,4.130354,0.116467,0.646707,1.796407,0.000000,0.006498
0.010000,1.820601,4.130398,0.123024,0.664671,1.796407,0.000000,0.006925
0.010000,1.827337,4.130446,0.129760,0.682635,1.796407,0.000000,0.007369
0.010000,1.834253,4.130499,0.136677,0.700599,1.796407,-0.000000,0.007831
0.010000,1.841348,4.130556,0.143772,0.718563,1.796407,0.000000,0.008312
0.010000,1.848624,4.130618,0.151048,0.736527,1.796407,0.000000,0.008812
0.010000,1.856078,4.130686,0.158503,0.754491,1.796407,-0.000000,0.009331
0.010000,1.863713,4.130759,0.166138,0.772455,1.796407,0.000000,0.009871
0.010000,1.871527,4.130839,0.173952,0.790419,1.796407,0.000000,0.010432
0.010000,1.879520,4.130924,0.181946,0.808383,1.796407,0.000000,0.011014
0.010000,1.887693,4.131017,0.190120,0.826347,1.796407,0.000000,0.011619
0.010000,1.896046,4.131116,0.198473,0.844311,1.796407,-0.000000,0.012245
0.010000,1.904578,4.131224,0.207006,0.862275,1.796407,0.000000,0.012895
0.010000,1.913290,4.131339,0.215719,0.880240,1.796407,0.000000,0.013569
0.010000,1.922182,4.131463,0.224611,0.898204,1.796407,-0.000000,0.014268
0.010000,1.931252,4.131595,0.233683,0.916168,1.796407,0.000000,0.014991
0.010000,1.940503,4.131738,0.242934,0.934132,1.796407,0.000000,0.015740
0.010000,1.949933,4.131890,0.252365,0.952096,1.796407,0.000000,0.016516
0.010000,1.959542,4.132052,0.261976,0.970060,1.796407,-0.000000,0.017319
0.010000,1.969331,4.132226,0.271766,0.988024,1.796407,0.000000,0.018150
0.010000,1.979299,4.132411,0.281737,1.005988,1.796407,0.000000,0.019010
0.010000,1.989447,4.132609,0.291886,1.023952,1.796407,0.000000,0.019899
0.010000,1.999774,4.132819,0.302216,1.041916,1.796407,0.000000,0.020819
0.010000,2.010281,4.133043,0.312725,1.059880,1.796407,0.000000,0.021769
0.010000,2.020967,4.133280,0.323413,1.077844,1.796407,0.000000,0.022751
0.010000,2.031832,4.133533,0.334281,1.095808,1.796407,0.000000,0.023766
0.010000,2.042877,4.133802,0.345329,1.113772,1.796407,-0.000000,0.024814
0.010000,2.054101,4.134086,0.356557,1.131737,1.796407,0.000000,0.025896
0.010000,2.065504,4.134388,0.367964,1.149701,1.796407,0.000000,0.027014
0.010000,2.077086,4.134708,0.379551,1.167665,1.796407,0.000000,0.028167
0.010000,2.088848,4.135046,0.391317,1.185629,1.796407,0.000000,0.029358
0.010000,2.100789,4.135404,0.403263,1.203593,1.796407,0.000000,0.030586
0.010000,2.112909,4.135782,0.415389,1.221557,1.796407,0.000000,0.031853
0.010000,2.125208,4.136182,0.427695,1.239521,1.796407,-0.000000,0.033160
0.010000,2.137685,4.136605,0.440180,1.257485,1.796407,0.000000,0.034507
0.010000,2.150342,4.137050,0.452844,1.275449,1.796407,0.000000,0.035896
0.010000,2.163178,4.137520,0.465689,1.293413,1.796407,0.000000,0.037328
0.010000,2.176192,4.138016,0.478713,1.311377,1.796407,0.000000,0.038803
0.010000,2.189386,4.138538,0.491916,1.329341,1.796407,0.000000,0.040323
0.010000,2.202758,4.139088,0.505299,1.347305,1.796407,0.000000,0.041889
0.010000,2.216308,4.139667,0.518862,1.365269,1.796407,0.000000,0.043501
0.010000,2.230037,4.140276,0.532605,1.383234,1.796407,-0.000000,0.045161
0.010000,2.243945,4.140916,0.546527,1.401198,1.796407,0.000000,0.046870
0.010000,2.258030,4.141589,0.560629,1.419162,1.796407,0.000000,0.048630
0.010000,2.272294,4.142297,0.574910,1.437126,1.796407,0.000000,0.050440
0.010000,2.286736,4.143039,0.589371,1.455090,1.796407,0.000000,0.052303
0.010000,2.301356,4.143818,0.604012,1.473054,1.796407,0.000000,0.054219
0.010000,2.316154,4.144636,0.618832,1.491018,1.796407,0.000000,0.056190
0.010000,2.331129,4.145494,0.633832,1.508982,1.796407,-0.000000,0.058217
0.010000,2.346282,4.146393,0.649012,1.526946,1.796407,0.000000,0.060301
0.010000,2.361613,4.147335,0.664371,1.544910,1.796407,-0.000000,0.062443
0.010000,2.377120,4.148321,0.679910,1.562874,1.796407,0.000000,0.064645
0.010000,2.392805,4.149354,0.695629,1.580838,1.796407,0.000000,0.066908
0.010000,2.408666,4.150436,0.711527,1.598802,1.796407,-0.000000,0.069233
0.010000,2.424704,4.151567,0.727605,1.616766,1.796407,0.000000,0.071622
0.010000,2.440919,4.152750,0.743862,1.634731,1.796407,-0.000000,0.074075
0.010000,2.457309,4.153987,0.760299,1.652695,1.796407,0.000000,0.076594
0.010000,2.473876,4.155280,0.776916,1.670659,1.796407,-0.000000,0.079181
0.010000,2.490618,4.156631,0.793713,1.688623,1.796407,0.000000,0.081837
0.010000,2.507535,4.158042,0.810689,1.706587,1.796407,0.000000,0.084563
0.010000,2.524627,4.159515,0.827844,1.724551,1.796407,-0.000000,0.087360
0.010000,2.541894,4.161052,0.845180,1.742515,1.796407,0.000000,0.090231
0.010000,2.559336,4.162656,0.862695,1.760479,1.796407,0.000000,0.093176
0.010000,2.576951,4.164329,0.880389,1.778443,1.796407,-0.000000,0.096197
0.010000,2.594740,4.166073,0.898263,1.796407,1.796407,0.000000,0.099296
0.010000,2.612702,4.167891,0.916317,1.814371,1.796407,0.000000,0.102473
0.010000,2.630837,4.169786,0.934551,1.832335,1.796407,0.000000,0.105730
0.010000,2.649144,4.171759,0.952964,1.850299,1.796407,-0.000000,0.109069
0.010000,2.667623,4.173815,0.971557,1.868263,1.796407,0.000000,0.112492
0.010000,2.686273,4.175955,0.990329,1.886228,1.796407,0.000000,0.115999
0.010000,2.705094,4.178182,1.009281,1.904192,1.796407,-0.000000,0.119593
0.010000,2.724084,4.180499,1.028413,1.922156,1.796407,0.000000,0.123274
0.010000,2.743245,4.182910,1.047725,1.940120,1.796407,0.000000,0.127044
0.010000,2.762574,4.185417,1.067216,1.958084,1.796407,0.000000,0.130906
0.010000,2.782071,4.188023,1.086886,1.976048,1.796407,-0.000000,0.134859
0.010000,2.801736,4.190732,1.106737,1.994012,1.796407,0.000000,0.138906
0.010000,2.821567,4.193546,1.126766,2.011976,1.796407,-0.000000,0.143049
0.010000,2.841564,4.196469,1.146976,2.029940,1.796407,0.000000,0.147288
0.010000,2.861726,4.199505,1.167365,2.047904,1.796407,-0.000000,0.151626
0.010000,2.882052,4.202657,1.187934,2.065868,1.796407,0.000000,0.156063
0.010000,2.902541,4.205928,1.208683,2.083832,1.796407,-0.000000,0.160602
0.010000,2.923192,4.209323,1.229611,2.101796,1.796407,0.000000,0.165243
0.010000,2.944004,4.212844,1.250719,2.119760,1.796407,0.000000,0.169988
