dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.699959,3.780000,0.000030,0.005988,0.598802,59.880240,6.283067
0.010000,1.699961,3.780000,0.000032,0.000206,-0.578218,-117.702019,6.283073
0.010000,1.699965,3.780000,0.000037,0.000463,0.025755,60.397271,6.283087
0.010000,1.699973,3.780000,0.000044,0.000773,0.030967,0.521246,6.283109
0.010000,1.699984,3.780000,0.000055,0.001084,0.031079,0.011156,6.283140
0.010000,1.699998,3.780000,0.000069,0.001396,0.031235,0.015619,6.283180
0.010000,1.700886,3.780000,0.000957,0.088800,8.740367,870.913181,0.000043
0.010000,1.702074,3.780000,0.002145,0.118794,2.999372,-574.099467,0.000101
0.010000,1.703445,3.780000,0.003516,0.137078,1.828441,-117.093129,0.000168
0.010000,1.704998,3.780001,0.005070,0.155364,1.828626,0.018476,0.000244
0.010000,1.706735,3.780001,0.006806,0.173656,1.829210,0.058426,0.000330
0.010000,1.708654,3.780002,0.008726,0.191951,1.829492,0.028207,0.000425
0.010000,1.710757,3.780003,0.010828,0.210251,1.829975,0.048288,0.000530
0.010000,1.713042,3.780004,0.013114,0.228556,1.830510,0.053500,0.000644
0.010000,1.715511,3.780006,0.015582,0.246867,1.831081,0.057064,0.000769
0.010000,1.718163,3.780008,0.018234,0.265184,1.831687,0.060606,0.000903
0.010000,1.720998,3.780011,0.021069,0.283507,1.832328,0.064125,0.001048
0.010000,1.724016,3.780014,0.024088,0.301837,1.833004,0.067621,0.001203
0.010000,1.727218,3.780018,0.027289,0.320175,1.833739,0.073488,0.001369
0.010000,1.730603,3.780023,0.030675,0.338521,1.834666,0.092657,0.001545
0.010000,1.734172,3.780029,0.034243,0.356874,1.835288,0.062270,0.001733
0.010000,1.737924,3.780036,0.037996,0.375237,1.836339,0.105076,0.001932
0.010000,1.741861,3.780044,0.041932,0.393608,1.837089,0.074946,0.002143
0.010000,1.745980,3.780053,0.046052,0.411991,1.838290,0.120138,0.002366
0.010000,1.750284,3.780064,0.050356,0.430382,1.839113,0.082266,0.002601
0.010000,1.754772,3.780076,0.054843,0.448784,1.840209,0.109628,0.002849
0.010000,1.759444,3.780090,0.059515,0.467198,1.841342,0.113286,0.003109
0.010000,1.764300,3.780106,0.064372,0.485623,1.842511,0.116904,0.003383
0.010000,1.769341,3.780124,0.069412,0.504060,1.843716,0.120483,0.003670
0.010000,1.774566,3.780144,0.074637,0.522510,1.844956,0.124022,0.003971
0.010000,1.779976,3.780166,0.080047,0.540972,1.846231,0.127519,0.004286
0.010000,1.785570,3.780191,0.085641,0.559447,1.847541,0.130975,0.004616
0.010000,1.791349,3.780219,0.091421,0.577936,1.848891,0.135002,0.004961
0.010000,1.797314,3.780249,0.097385,0.596442,1.850546,0.165503,0.005321
0.010000,1.803463,3.780283,0.103535,0.614959,1.851731,0.118522,0.005697
0.010000,1.809798,3.780320,0.109870,0.633494,1.853513,0.178193,0.006089
0.010000,1.816318,3.780362,0.116390,0.652043,1.854856,0.134327,0.006498
0.010000,1.823024,3.780407,0.123096,0.670609,1.856670,0.181417,0.006925
0.010000,1.829916,3.780456,0.129988,0.689192,1.858276,0.160614,0.007369
0.010000,1.836994,3.780510,0.137066,0.707792,1.859952,0.167586,0.007831
0.010000,1.844258,3.780568,0.144330,0.726409,1.861742,0.178945,0.008312
0.010000,1.851708,3.780632,0.151781,0.745045,1.863568,0.182629,0.008812
0.010000,1.859344,3.780701,0.159418,0.763699,1.865431,0.186261,0.009331
0.010000,1.867168,3.780776,0.167241,0.782372,1.867329,0.189843,0.009871
0.010000,1.875178,3.780858,0.175252,0.801065,1.869263,0.193376,0.010432
0.010000,1.883375,3.780946,0.183450,0.819779,1.871376,0.211289,0.011014
0.010000,1.891760,3.781040,0.191835,0.838513,1.873402,0.202657,0.011619
0.010000,1.900332,3.781143,0.200408,0.857266,1.875353,0.195018,0.012245
0.010000,1.909092,3.781253,0.209168,0.876045,1.877841,0.248834,0.012895
0.010000,1.918039,3.781371,0.218116,0.894842,1.879717,0.187599,0.013569
0.010000,1.927175,3.781498,0.227253,0.913664,1.882181,0.246374,0.014268
0.010000,1.936499,3.781635,0.236578,0.932509,1.884482,0.230151,0.014991
0.010000,1.946012,3.781781,0.246092,0.951376,1.886765,0.228317,0.015740
0.010000,1.955713,3.781937,0.255795,0.970268,1.889217,0.245125,0.016516
0.010000,1.965604,3.782105,0.265687,0.989185,1.891707,0.249015,0.017319
0.010000,1.975683,3.782284,0.275768,1.008128,1.894235,0.252851,0.018150
0.010000,1.985953,3.782474,0.286039,1.027096,1.896802,0.256637,0.019010
0.010000,1.996411,3.782678,0.296500,1.046090,1.899405,0.260377,0.019899
0.010000,2.007060,3.782895,0.307151,1.065110,1.902046,0.264074,0.020819
0.010000,2.017899,3.783126,0.317992,1.084161,1.905031,0.298508,0.021769
0.010000,2.028929,3.783371,0.329025,1.103236,1.907542,0.251049,0.022751
0.010000,2.040150,3.783632,0.340248,1.122341,1.910518,0.297661,0.023766
0.010000,2.051561,3.783909,0.351663,1.141475,1.913367,0.284860,0.024814
0.010000,2.063164,3.784204,0.363269,1.160639,1.916448,0.308092,0.025896
0.010000,2.074958,3.784516,0.375068,1.179832,1.919284,0.283581,0.027014
0.010000,2.086944,3.784846,0.387058,1.199056,1.922414,0.313083,0.028167
0.010000,2.099122,3.785197,0.399241,1.218313,1.925669,0.325449,0.029358
0.010000,2.111492,3.785568,0.411617,1.237601,1.928764,0.309542,0.030586
0.010000,2.124055,3.785960,0.424187,1.256921,1.931981,0.321672,0.031853
0.010000,2.136811,3.786375,0.436949,1.276274,1.935296,0.331493,0.033160
0.010000,2.149761,3.786813,0.449906,1.295661,1.938783,0.348721,0.034507
0.010000,2.162903,3.787276,0.463057,1.315082,1.942068,0.328509,0.035896
0.010000,2.176240,3.787764,0.476402,1.334537,1.945485,0.341671,0.037328
0.010000,2.189770,3.788279,0.489942,1.354029,1.949168,0.368348,0.038803
0.010000,2.203495,3.788823,0.503678,1.373556,1.952734,0.356563,0.040323
0.010000,2.217414,3.789395,0.517609,1.393119,1.956346,0.361214,0.041889
0.010000,2.231529,3.789998,0.531736,1.412720,1.960045,0.369838,0.043501
0.010000,2.245838,3.790633,0.546060,1.432360,1.964018,0.397299,0.045161
0.010000,2.260343,3.791301,0.560580,1.452036,1.967642,0.362415,0.046870
0.010000,2.275044,3.792003,0.575298,1.471752,1.971595,0.395370,0.048630
0.010000,2.289941,3.792742,0.590213,1.491508,1.975592,0.399658,0.050440
0.010000,2.305034,3.793518,0.605326,1.511305,1.979631,0.403891,0.052303
0.010000,2.320324,3.794333,0.620637,1.531142,1.983712,0.408076,0.054219
0.010000,2.335810,3.795189,0.636148,1.551020,1.987834,0.412225,0.056190
0.010000,2.351494,3.796087,0.651857,1.570940,1.991997,0.416348,0.058217
0.010000,2.367375,3.797029,0.667766,1.590903,1.996312,0.431443,0.060301
0.010000,2.383454,3.798017,0.683875,1.610911,2.000786,0.447407,0.062443
0.010000,2.399730,3.799052,0.700185,1.630959,2.004818,0.403254,0.064645
0.010000,2.416205,3.800138,0.716695,1.651057,2.009744,0.492554,0.066908
0.010000,2.432879,3.801274,0.733407,1.671195,2.013807,0.406323,0.069233
0.010000,2.449750,3.802464,0.750321,1.691381,2.018591,0.478363,0.071622
0.010000,2.466821,3.803710,0.767437,1.711613,2.023271,0.467976,0.074075
0.010000,2.484091,3.805014,0.784756,1.731891,2.027810,0.453948,0.076594
0.010000,2.501560,3.806377,0.802278,1.752217,2.032578,0.476831,0.079181
0.010000,2.519229,3.807802,0.820004,1.772591,2.037381,0.480224,0.081837
0.010000,2.537097,3.809292,0.837934,1.793013,2.042216,0.483516,0.084563
0.010000,2.555165,3.810849,0.856069,1.813484,2.047083,0.486720,0.087360
0.010000,2.573432,3.812476,0.874409,1.834004,2.052008,0.492461,0.090231
0.010000,2.591900,3.814174,0.892955,1.854576,2.057220,0.521228,0.093176
0.010000,2.610568,3.815947,0.911707,1.875196,2.061938,0.471809,0.096197
0.010000,2.629436,3.817797,0.930665,1.895867,2.067163,0.522477,0.099296
0.010000,2.648505,3.819727,0.949831,1.916590,2.072235,0.507226,0.102473
0.010000,2.667774,3.821740,0.969205,1.937364,2.077450,0.521501,0.105730
0.010000,2.687243,3.823839,0.988787,1.958189,2.082477,0.502679,0.109069
0.010000,2.706912,3.826027,1.008578,1.979067,2.087793,0.531653,0.112492
0.010000,2.726782,3.828307,1.028578,1.999998,2.093093,0.530009,0.115999
0.010000,2.746851,3.830682,1.048787,2.020980,2.098227,0.513375,0.119593
0.010000,2.767121,3.833155,1.069208,2.042015,2.103505,0.527751,0.123274
0.010000,2.787591,3.835731,1.089839,2.063103,2.108776,0.527171,0.127044
0.010000,2.808260,3.838411,1.110681,2.084244,2.114099,0.532291,0.130906
0.010000,2.829129,3.841201,1.131735,2.105438,2.119412,0.531248,0.134859
0.010000,2.850197,3.844103,1.153002,2.126684,2.124561,0.514923,0.138906
0.010000,2.871464,3.847121,1.174482,2.147982,2.129825,0.526420,0.143049
0.010000,2.892929,3.850259,1.196175,2.169334,2.135191,0.536534,0.147288
0.010000,2.914592,3.853521,1.218083,2.190736,2.140204,0.501365,0.151626
0.010000,2.936453,3.856911,1.240205,2.212191,2.145489,0.528490,0.156063
0.010000,2.958510,3.860432,1.262542,2.233696,2.150551,0.506143,0.160602
0.010000,2.980764,3.864090,1.285094,2.255252,2.155562,0.501097,0.165243
0.010000,3.003213,3.867889,1.307863,2.276857,2.160559,0.499734,0.169988
0.010000,3.025858,3.871832,1.330848,2.298512,2.165459,0.490030,0.174839
0.010000,3.048696,3.875924,1.354050,2.320215,2.170255,0.479599,0.179796
0.010000,3.071728,3.880171,1.377470,2.341964,2.174940,0.468449,0.184862
0.010000,3.094951,3.884576,1.401107,2.363759,2.179506,0.456586,0.190037
0.010000,3.118366,3.889144,1.424963,2.385598,2.183946,0.444018,0.195323
0.010000,3.141970,3.893880,1.449038,2.407481,2.188250,0.430455,0.200720
0.010000,3.165763,3.898789,1.473332,2.429404,2.192339,0.408875,0.206231
0.010000,3.189743,3.903876,1.497846,2.451368,2.196353,0.401359,0.211856
0.010000,3.213909,3.909146,1.522579,2.473368,2.200018,0.366511,0.217597
0.010000,3.238258,3.914604,1.547533,2.495405,2.203674,0.365603,0.223454
0.010000,3.262791,3.920256,1.572708,2.517473,2.206864,0.319015,0.229428
0.010000,3.287503,3.926107,1.598104,2.539573,2.209970,0.310655,0.235520
0.010000,3.312394,3.932162,1.623721,2.561701,2.212799,0.282863,0.241731
0.010000,3.337462,3.938426,1.649559,2.583854,2.215289,0.248990,0.248062
0.010000,3.362704,3.944906,1.675620,2.606029,2.217473,0.218437,0.254513
0.010000,3.388117,3.951607,1.701902,2.628222,2.219340,0.186664,0.261086
0.010000,3.413701,3.958534,1.728406,2.650431,2.220877,0.153706,0.267779
0.010000,3.439450,3.965693,1.755133,2.672652,2.222073,0.119604,0.274594
0.010000,3.465364,3.973090,1.782082,2.694881,2.222896,0.082285,0.281531
