dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700307,4.850000,0.000030,0.005966,0.596566,59.656621,0.000876
0.010000,1.700299,4.850000,0.000038,0.000806,-0.515961,-111.252756,0.000853
0.010000,1.700281,4.850000,0.000056,0.001813,0.100717,61.667853,0.000802
0.010000,1.700250,4.850000,0.000086,0.003021,0.120762,2.004452,0.000715
0.010000,1.700208,4.850000,0.000128,0.004227,0.120582,-0.017945,0.000594
0.010000,1.700154,4.850000,0.000183,0.005430,0.120331,-0.025119,0.000439
0.010000,1.700087,4.850000,0.000249,0.006630,0.120008,-0.032287,0.000250
0.010000,1.700009,4.850000,0.000327,0.007826,0.119614,-0.039450,0.000026
0.010000,1.701124,4.850000,0.001442,0.111503,10.367675,1024.806169,6.282954
0.010000,1.702543,4.849999,0.002862,0.141919,3.041640,-732.603573,6.282662
0.010000,1.704130,4.849998,0.004448,0.158650,1.673026,-136.861357,6.282337
0.010000,1.705883,4.849996,0.006202,0.175355,1.670537,-0.248951,6.281979
0.010000,1.707804,4.849994,0.008123,0.192102,1.674695,0.415866,6.281587
0.010000,1.709893,4.849990,0.010211,0.208836,1.673373,-0.132251,6.281162
0.010000,1.712149,4.849985,0.012467,0.225594,1.675806,0.243325,6.280704
0.010000,1.714572,4.849978,0.014890,0.242345,1.675178,-0.062813,6.280214
0.010000,1.717164,4.849970,0.017482,0.259133,1.678771,0.359277,6.279692
0.010000,1.719922,4.849959,0.020241,0.275895,1.676173,-0.259748,6.279137
0.010000,1.722849,4.849947,0.023168,0.292701,1.680561,0.438755,6.278552
0.010000,1.725945,4.849931,0.026263,0.309517,1.681604,0.104324,6.277935
0.010000,1.729208,4.849913,0.029526,0.326326,1.680941,-0.066313,6.277288
0.010000,1.732639,4.849892,0.032958,0.343162,1.683621,0.267998,6.276610
0.010000,1.736239,4.849867,0.036558,0.360017,1.685473,0.185210,6.275902
0.010000,1.740008,4.849838,0.040327,0.376886,1.686865,0.139180,6.275165
