dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700000,5.200000,0.000030,0.005971,0.597077,59.707671,0.000804
0.010000,1.700000,5.200000,0.000149,0.017912,1.194153,59.707671,0.000769
0.010000,1.700000,5.200000,0.000418,0.035825,1.791230,59.707671,0.000691
0.010000,1.700000,5.200000,0.000866,0.053737,1.791230,0.000000,0.000560
0.010000,1.700000,5.200000,0.001493,0.071649,1.791230,-0.000000,0.000378
0.010000,1.700000,5.200000,0.002299,0.089562,1.791230,0.000000,0.000143
0.010000,1.700493,5.200000,0.003284,0.107474,1.791230,0.000000,6.283042
0.010000,1.701657,5.200000,0.004448,0.125386,1.791230,0.000000,6.282704
0.010000,1.703000,5.199999,0.005792,0.143298,1.791230,-0.000000,6.282314
0.010000,1.704523,5.199997,0.007314,0.161211,1.791230,0.000000,6.281873
0.010000,1.706225,5.199994,0.009016,0.179123,1.791230,0.000000,6.281381
0.010000,1.708105,5.199990,0.010897,0.197035,1.791230,-0.000000,6.280838
0.010000,1.710165,5.199985,0.012957,0.214948,1.791230,0.000000,6.280244
0.010000,1.712404,5.199978,0.015196,0.232860,1.791230,-0.000000,6.279599
0.010000,1.714822,5.199968,0.017614,0.250772,1.791230,0.000000,6.278905
0.010000,1.717420,5.199956,0.020211,0.268685,1.791230,-0.000000,6.278160
0.010000,1.720196,5.199941,0.022987,0.286597,1.791230,0.000000,6.277367
0.010000,1.723152,5.199923,0.025943,0.304509,1.791230,0.000000,6.276524
0.010000,1.726286,5.199900,0.029078,0.322421,1.791230,-0.000000,6.275632
0.010000,1.729600,5.199874,0.032391,0.340334,1.791230,0.000000,6.274693
0.010000,1.733093,5.199842,0.035884,0.358246,1.791230,0.000000,6.273705
0.010000,1.736764,5.199806,0.039556,0.376158,1.791230,-0.000000,6.272671
0.010000,1.740615,5.199763,0.043407,0.394071,1.791230,0.000000,6.271590
0.010000,1.744645,5.199714,0.047438,0.411983,1.791230,0.000000,6.270462
0.010000,1.748854,5.199658,0.051647,0.429895,1.791230,0.000000,6.269289
0.010000,1.753242,5.199594,0.056036,0.447808,1.791230,-0.000000,6.268071
0.010000,1.757809,5.199522,0.060603,0.465720,1.791230,0.000000,6.266808
0.010000,1.762555,5.199442,0.065350,0.483632,1.791230,0.000000,6.265502
0.010000,1.767481,5.199351,0.070276,0.501544,1.791230,0.000000,6.264152
0.010000,1.772585,5.199250,0.075381,0.519457,1.791230,-0.000000,6.262761
0.010000,1.777867,5.199139,0.080665,0.537369,1.791230,0.000000,6.261327
0.010000,1.783329,5.199015,0.086128,0.555281,1.791230,0.000000,6.259853
0.010000,1.788970,5.198879,0.091771,0.573194,1.791230,0.000000,6.258338
0.010000,1.794790,5.198730,0.097592,0.591106,1.791230,0.000000,6.256784
0.010000,1.800788,5.198567,0.103593,0.609018,1.791230,-0.000000,6.255192
0.010000,1.806965,5.198389,0.109773,0.626931,1.791230,-0.000000,6.253562
0.010000,1.813321,5.198195,0.116131,0.644843,1.791230,0.000000,6.251895
0.010000,1.819856,5.197985,0.122669,0.662755,1.791230,0.000000,6.250192
0.010000,1.826569,5.197758,0.129387,0.680667,1.791230,-0.000000,6.248455
0.010000,1.833461,5.197512,0.136283,0.698580,1.791230,0.000000,6.246684
0.010000,1.840531,5.197248,0.143358,0.716492,1.791230,0.000000,6.244880
0.010000,1.847780,5.196963,0.150613,0.734404,1.791230,-0.000000,6.243044
0.010000,1.855208,5.196658,0.158046,0.752317,1.791230,0.000000,6.241177
0.010000,1.862813,5.196331,0.165659,0.770229,1.791230,0.000000,6.239281
0.010000,1.870597,5.195982,0.173451,0.788141,1.791230,0.000000,6.237356
0.010000,1.878559,5.195609,0.181422,0.806054,1.791230,0.000000,6.235403
0.010000,1.886700,5.195211,0.189572,0.823966,1.791230,-0.000000,6.233425
0.010000,1.895018,5.194789,0.197901,0.841878,1.791230,0.000000,6.231421
0.010000,1.903515,5.194340,0.206409,0.859790,1.791230,0.000000,6.229393
0.010000,1.912189,5.193864,0.215097,0.877703,1.791230,-0.000000,6.227343
0.010000,1.921042,5.193360,0.223963,0.895615,1.791230,0.000000,6.225272
0.010000,1.930072,5.192827,0.233009,0.913527,1.791230,-0.000000,6.223181
0.010000,1.939279,5.192264,0.242234,0.931440,1.791230,0.000000,6.221071
0.010000,1.948664,5.191670,0.251638,0.949352,1.791230,0.000000,6.218944
0.010000,1.958227,5.191045,0.261221,0.967264,1.791230,0.000000,6.216801
0.010000,1.967967,5.190386,0.270983,0.985177,1.791230,-0.000000,6.214643
0.010000,1.977884,5.189695,0.280925,1.003089,1.791230,0.000000,6.212473
0.010000,1.987979,5.188969,0.291045,1.021001,1.791230,-0.000000,6.210291
0.010000,1.998250,5.188207,0.301345,1.038913,1.791230,0.000000,6.208099
0.010000,2.008698,5.187410,0.311823,1.056826,1.791230,-0.000000,6.205898
0.010000,2.019323,5.186575,0.322481,1.074738,1.791230,0.000000,6.203691
0.010000,2.030125,5.185702,0.333318,1.092650,1.791230,-0.000000,6.201478
0.010000,2.041103,5.184791,0.344334,1.110563,1.791230,0.000000,6.199262
