dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.700281,4.850000,0.000030,0.005971,0.597077,59.707671,0.000804
0.010000,1.700269,4.850000,0.000042,0.001218,-0.475294,-107.237102,0.000769
0.010000,1.700242,4.850000,0.000069,0.002740,0.152181,62.747515,0.000691
0.010000,1.700196,4.850000,0.000115,0.004565,0.182497,3.031621,0.000560
0.010000,1.700132,4.850000,0.000179,0.006387,0.182279,-0.021770,0.000378
0.010000,1.700050,4.850000,0.000261,0.008207,0.181974,-0.030485,0.000143
0.010000,1.700443,4.850000,0.000653,0.039243,3.103543,292.156883,6.283042
0.010000,1.701489,4.850000,0.001699,0.104596,6.535372,343.182904,6.282704
0.010000,1.702696,4.849999,0.002906,0.120701,1.610507,-492.486543,6.282314
0.010000,1.704064,4.849997,0.004275,0.136816,1.611500,0.099307,6.281873
0.010000,1.705593,4.849995,0.005804,0.152935,1.611905,0.040535,6.281381
0.010000,1.707284,4.849991,0.007495,0.169064,1.612834,0.092913,6.280838
0.010000,1.709136,4.849987,0.009347,0.185203,1.613883,0.104842,6.280244
0.010000,1.711149,4.849980,0.011360,0.201349,1.614674,0.079090,6.279599
0.010000,1.713324,4.849971,0.013535,0.217507,1.615796,0.112237,6.278905
0.010000,1.715661,4.849961,0.015872,0.233677,1.616991,0.119497,6.278160
0.010000,1.718160,4.849947,0.018371,0.249860,1.618260,0.126900,6.277367
0.010000,1.720820,4.849930,0.021031,0.266056,1.619605,0.134454,6.276524
0.010000,1.723643,4.849910,0.023854,0.282266,1.621026,0.142167,6.275632
0.010000,1.726627,4.849886,0.026839,0.298491,1.622527,0.150045,6.274693
0.010000,1.729775,4.849858,0.029986,0.314732,1.624108,0.158093,6.273705
0.010000,1.733084,4.849825,0.033296,0.330992,1.625934,0.182593,6.272671
0.010000,1.736557,4.849787,0.036769,0.347269,1.627699,0.176546,6.271590
0.010000,1.740192,4.849742,0.040404,0.363563,1.629396,0.169674,6.270462
0.010000,1.743991,4.849692,0.044203,0.379880,1.631750,0.235429,6.269289
0.010000,1.747952,4.849634,0.048165,0.396215,1.633426,0.167559,6.268071
0.010000,1.752078,4.849569,0.052291,0.412573,1.635899,0.247308,6.266808
0.010000,1.756367,4.849496,0.056580,0.428953,1.638000,0.210099,6.265502
0.010000,1.760819,4.849415,0.061034,0.445357,1.640341,0.234165,6.264152
0.010000,1.765436,4.849324,0.065652,0.461785,1.642830,0.248888,6.262761
0.010000,1.770218,4.849222,0.070434,0.478240,1.645458,0.262798,6.261327
0.010000,1.775164,4.849111,0.075381,0.494720,1.648020,0.256178,6.259853
0.010000,1.780274,4.848987,0.080494,0.511228,1.650753,0.273243,6.258338
0.010000,1.785550,4.848852,0.085771,0.527763,1.653587,0.283456,6.256784
0.010000,1.790992,4.848704,0.091215,0.544329,1.656588,0.300109,6.255192
0.010000,1.796598,4.848543,0.096824,0.560925,1.659563,0.297503,6.253562
0.010000,1.802371,4.848367,0.102599,0.577552,1.662662,0.309919,6.251895
0.010000,1.808310,4.848176,0.108542,0.594210,1.665867,0.320507,6.250192
0.010000,1.814416,4.847969,0.114651,0.610904,1.669336,0.346809,6.248455
0.010000,1.820688,4.847745,0.120927,0.627629,1.672589,0.325295,6.246684
0.010000,1.827128,4.847504,0.127371,0.644392,1.676225,0.363656,6.244880
0.010000,1.833734,4.847245,0.133983,0.661189,1.679738,0.351314,6.243044
0.010000,1.840509,4.846967,0.140763,0.678025,1.683583,0.384516,6.241177
