dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.699686,5.550000,0.000030,0.005997,0.599670,59.967008,0.000896
0.010000,1.699698,5.550000,0.000041,0.001125,-0.487147,-108.681738,0.000864
0.010000,1.699723,5.550000,0.000067,0.002531,0.140614,62.776143,0.000792
0.010000,1.699765,5.550000,0.000109,0.004218,0.168637,2.802275,0.000671
0.010000,1.699824,5.550000,0.000168,0.005902,0.168455,-0.018162,0.000502
0.010000,1.699900,5.550000,0.000244,0.007584,0.168201,-0.025433,0.000286
0.010000,1.699993,5.550000,0.000336,0.009263,0.167874,-0.032708,0.000021
0.010000,1.701192,5.550000,0.001536,0.119983,11.072013,1090.413877,6.282894
0.010000,1.702668,5.549999,0.003011,0.147534,2.755048,-831.696469,6.282534
0.010000,1.704340,5.549998,0.004683,0.167188,1.965464,-78.958428,6.282126
0.010000,1.706208,5.549995,0.006552,0.186838,1.964950,-0.051404,6.281671
0.010000,1.708273,5.549992,0.008616,0.206479,1.964128,-0.082208,6.281168
0.010000,1.710534,5.549986,0.010878,0.226113,1.963422,-0.070568,6.280619
0.010000,1.712991,5.549979,0.013335,0.245740,1.962697,-0.072451,6.280023
0.010000,1.715645,5.549970,0.015989,0.265356,1.961594,-0.110365,6.279380
0.010000,1.718494,5.549958,0.018838,0.284963,1.960669,-0.092446,6.278692
0.010000,1.721540,5.549944,0.021884,0.304561,1.959817,-0.085198,6.277957
0.010000,1.724781,5.549925,0.025125,0.324146,1.958508,-0.130876,6.277177
0.010000,1.728219,5.549903,0.028562,0.343719,1.957318,-0.119018,6.276351
0.010000,1.731851,5.549877,0.032195,0.363280,1.956055,-0.126377,6.275481
0.010000,1.735679,5.549846,0.036024,0.382827,1.954707,-0.134764,6.274566
0.010000,1.739703,5.549809,0.040047,0.402360,1.953276,-0.143050,6.273607
0.010000,1.743921,5.549766,0.044266,0.421877,1.951764,-0.151233,6.272604
0.010000,1.748335,5.549717,0.048680,0.441380,1.950255,-0.150902,6.271559
0.010000,1.752943,5.549661,0.053288,0.460866,1.948595,-0.165955,6.270470
0.010000,1.757746,5.549598,0.058092,0.480334,1.946769,-0.182624,6.269339
0.010000,1.762744,5.549525,0.063089,0.499783,1.944954,-0.181575,6.268167
0.010000,1.767935,5.549444,0.068282,0.519216,1.943261,-0.169207,6.266953
0.010000,1.773321,5.549354,0.073668,0.538626,1.941050,-0.221182,6.265699
0.010000,1.778900,5.549252,0.079248,0.558018,1.939211,-0.183850,6.264405
0.010000,1.784673,5.549140,0.085022,0.577387,1.936903,-0.230851,6.263071
0.010000,1.790639,5.549016,0.090989,0.596736,1.934916,-0.198668,6.261698
0.010000,1.796798,5.548879,0.097150,0.616061,1.932467,-0.244942,6.260288
0.010000,1.803150,5.548729,0.103504,0.635363,1.930146,-0.232016,6.258840
0.010000,1.809694,5.548565,0.110050,0.654640,1.927785,-0.236126,6.257355
0.010000,1.816430,5.548386,0.116789,0.673893,1.925207,-0.257770,6.255834
0.010000,1.823359,5.548191,0.123720,0.693119,1.922614,-0.259349,6.254277
0.010000,1.830479,5.547979,0.130843,0.712318,1.919945,-0.266875,6.252687
0.010000,1.837790,5.547750,0.138158,0.731490,1.917192,-0.275304,6.251062
0.010000,1.845293,5.547503,0.145665,0.750634,1.914357,-0.283527,6.249404
0.010000,1.852985,5.547236,0.153362,0.769748,1.911441,-0.291546,6.247715
0.010000,1.860869,5.546950,0.161250,0.788832,1.908448,-0.299365,6.245994
0.010000,1.868942,5.546642,0.169329,0.807886,1.905375,-0.307227,6.244242
0.010000,1.877204,5.546313,0.177598,0.826908,1.902196,-0.317986,6.242462
0.010000,1.885656,5.545961,0.186057,0.845898,1.898984,-0.321177,6.240652
0.010000,1.894296,5.545585,0.194706,0.864855,1.895691,-0.329329,6.238815
0.010000,1.903125,5.545185,0.203544,0.883777,1.892209,-0.348174,6.236952
0.010000,1.912141,5.544759,0.212570,0.902665,1.888842,-0.336638,6.235062
0.010000,1.921345,5.544307,0.221785,0.921517,1.885185,-0.365768,6.233148
0.010000,1.930737,5.543828,0.231189,0.940334,1.881681,-0.350407,6.231211
0.010000,1.940314,5.543320,0.240780,0.959112,1.877782,-0.389900,6.229251
0.010000,1.950078,5.542783,0.250558,0.977853,1.874152,-0.362990,6.227269
0.010000,1.960027,5.542216,0.260524,0.996556,1.870272,-0.387976,6.225267
0.010000,1.970162,5.541619,0.270676,1.015218,1.866226,-0.404553,6.223246
0.010000,1.980481,5.540989,0.281015,1.033841,1.862242,-0.398482,6.221207
0.010000,1.990985,5.540326,0.291539,1.052423,1.858176,-0.406589,6.219151
0.010000,2.001672,5.539630,0.302248,1.070963,1.853992,-0.418342,6.217079
0.010000,2.012542,5.538899,0.313143,1.089460,1.849738,-0.425458,6.214993
0.010000,2.023594,5.538132,0.324222,1.107914,1.845415,-0.432310,6.212893
0.010000,2.034829,5.537329,0.335485,1.126324,1.841026,-0.438915,6.210782
0.010000,2.046245,5.536489,0.346932,1.144690,1.836573,-0.445290,6.208660
0.010000,2.057842,5.535611,0.358562,1.163009,1.831897,-0.467515,6.206528
0.010000,2.069619,5.534693,0.370375,1.181283,1.827360,-0.453749,6.204388
0.010000,2.081576,5.533736,0.382370,1.199510,1.822779,-0.458101,6.202242
0.010000,2.093712,5.532739,0.394547,1.217690,1.817926,-0.485326,6.200090
0.010000,2.106026,5.531700,0.406905,1.235820,1.813014,-0.491171,6.197934
0.010000,2.118518,5.530618,0.419444,1.253904,1.808378,-0.463587,6.195775
0.010000,2.131188,5.529494,0.432164,1.271934,1.803048,-0.533034,6.193615
0.010000,2.144034,5.528326,0.445063,1.289918,1.798368,-0.467948,6.191456
0.010000,2.157056,5.527114,0.458141,1.307849,1.793102,-0.526600,6.189298
0.010000,2.170254,5.525857,0.471399,1.325728,1.787876,-0.522658,6.187143
0.010000,2.183626,5.524554,0.484834,1.343556,1.782846,-0.502998,6.184993
0.010000,2.197172,5.523205,0.498448,1.361331,1.777514,-0.533135,6.182849
0.010000,2.210892,5.521809,0.512238,1.379052,1.772069,-0.544552,6.180713
0.010000,2.224785,5.520366,0.526205,1.396718,1.766625,-0.544367,6.178586
0.010000,2.238849,5.518874,0.540349,1.414331,1.761268,-0.535730,6.176469
0.010000,2.253085,5.517334,0.554667,1.431888,1.755732,-0.553588,6.174365
0.010000,2.267491,5.515745,0.569161,1.449390,1.750148,-0.558392,6.172276
0.010000,2.282068,5.514106,0.583830,1.466834,1.744483,-0.566470,6.170201
0.010000,2.296814,5.512417,0.598672,1.484221,1.738637,-0.584675,6.168144
0.010000,2.311728,5.510679,0.613687,1.501551,1.733044,-0.559241,6.166106
0.010000,2.326811,5.508889,0.628876,1.518824,1.727278,-0.576668,6.164088
0.010000,2.342060,5.507049,0.644236,1.536038,1.721432,-0.584588,6.162093
0.010000,2.357477,5.505157,0.659768,1.553189,1.715116,-0.631599,6.160121
0.010000,2.373059,5.503215,0.675471,1.570286,1.709639,-0.547714,6.158175
0.010000,2.388806,5.501220,0.691344,1.587318,1.703246,-0.639214,6.156256
0.010000,2.404718,5.499174,0.707387,1.604292,1.697414,-0.583271,6.154367
0.010000,2.420794,5.497077,0.723599,1.621202,1.690985,-0.642868,6.152508
0.010000,2.437033,5.494927,0.739979,1.638054,1.685138,-0.584730,6.150681
0.010000,2.453434,5.492726,0.756528,1.654839,1.678527,-0.661056,6.148890
0.010000,2.469997,5.490473,0.773243,1.671563,1.672379,-0.614778,6.147134
0.010000,2.486722,5.488169,0.790126,1.688224,1.666088,-0.629141,6.145416
0.010000,2.503606,5.485814,0.807174,1.704820,1.659627,-0.646099,6.143738
0.010000,2.520651,5.483407,0.824387,1.721351,1.653123,-0.650384,6.142102
0.010000,2.537854,5.480950,0.841766,1.737817,1.646575,-0.654782,6.140510
0.010000,2.555216,5.478442,0.859308,1.754217,1.639982,-0.659333,6.138962
0.010000,2.572736,5.475884,0.877013,1.770550,1.633341,-0.664079,6.137462
0.010000,2.590413,5.473276,0.894881,1.786817,1.626651,-0.669058,6.136012
0.010000,2.608246,5.470620,0.912912,1.803016,1.619908,-0.674306,6.134612
0.010000,2.626235,5.467915,0.931103,1.819147,1.613109,-0.679859,6.133266
0.010000,2.644380,5.465162,0.949455,1.835209,1.606251,-0.685749,6.131975
0.010000,2.662679,5.462362,0.967967,1.851201,1.599150,-0.710170,6.130741
0.010000,2.681132,5.459516,0.986638,1.867123,1.592207,-0.694318,6.129566
0.010000,2.699738,5.456624,1.005468,1.882976,1.585277,-0.692934,6.128452
0.010000,2.718497,5.453688,1.024456,1.898753,1.577785,-0.749265,6.127401
0.010000,2.737409,5.450708,1.043600,1.914463,1.570950,-0.683446,6.126415
0.010000,2.756472,5.447685,1.062901,1.930096,1.563284,-0.766622,6.125497
0.010000,2.775685,5.444622,1.082358,1.945658,1.556197,-0.708698,6.124648
0.010000,2.795050,5.441518,1.101969,1.961144,1.548632,-0.756491,6.123871
0.010000,2.814564,5.438375,1.121735,1.976554,1.541039,-0.759326,6.123167
0.010000,2.834227,5.435195,1.141654,1.991890,1.533518,-0.752047,6.122539
0.010000,2.854039,5.431979,1.161725,2.007148,1.525790,-0.772848,6.121989
0.010000,2.874000,5.428728,1.181948,2.022327,1.517982,-0.780752,6.121520
0.010000,2.894108,5.425445,1.202323,2.037428,1.510090,-0.789190,6.121133
0.010000,2.914363,5.422130,1.222847,2.052449,1.502109,-0.798188,6.120831
0.010000,2.934764,5.418786,1.243521,2.067390,1.494031,-0.807766,6.120616
0.010000,2.955312,5.415414,1.264344,2.082248,1.485851,-0.817939,6.120490
0.010000,2.976005,5.412017,1.285314,2.097024,1.477564,-0.828717,6.120457
0.010000,2.996844,5.408596,1.306431,2.111715,1.469163,-0.840104,6.120517
0.010000,3.017826,5.405154,1.327694,2.126322,1.460642,-0.852101,6.120675
0.010000,3.038953,5.401693,1.349103,2.140842,1.452045,-0.859733,6.120931
0.010000,3.060223,5.398215,1.370655,2.155275,1.443282,-0.876312,6.121289
0.010000,3.081637,5.394723,1.392352,2.169619,1.434376,-0.890578,6.121751
0.010000,3.103192,5.391218,1.414190,2.183874,1.425495,-0.888135,6.122320
0.010000,3.124890,5.387705,1.436171,2.198036,1.416217,-0.927728,6.122999
0.010000,3.146729,5.384185,1.458292,2.212107,1.407142,-0.907561,6.123789
0.010000,3.168709,5.380661,1.480553,2.226084,1.397608,-0.953418,6.124694
0.010000,3.190830,5.377137,1.502952,2.239964,1.388094,-0.951380,6.125716
0.010000,3.213091,5.373615,1.525490,2.253750,1.378584,-0.950997,6.126859
0.010000,3.235491,5.370099,1.548164,2.267437,1.368629,-0.995477,6.128124
0.010000,3.258030,5.366592,1.570974,2.281024,1.358696,-0.993346,6.129516
0.010000,3.280707,5.363097,1.593919,2.294510,1.348618,-1.007796,6.131036
0.010000,3.303522,5.359617,1.616998,2.307894,1.338391,-1.022642,6.132687
0.010000,3.326475,5.356157,1.640210,2.321174,1.328013,-1.037808,6.134473
0.010000,3.349564,5.352721,1.663554,2.334349,1.317481,-1.053204,6.136397
0.010000,3.372789,5.349311,1.687028,2.347417,1.306794,-1.068723,6.138461
